step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.06999999999994544,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.15000000000001876,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.3899999999999829,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.47000000000001363,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6300000000000324,54.8,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7099999999999778,54.8,4.999999999999998,1.7999999999999998,10.0,0,45.0
9,3,GO,0.7900000000000085,54.8,5.199999999999998,1.9999999999999998,10.0,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,32.742881979556536,0,44.58
11,3,GO,0.9499999999999846,54.8,5.659999999999998,2.4,29.651865704546932,0,44.34
12,1,CREEP,0.8799999999999982,54.8,5.894999999999999,2.3499999999999996,29.27924622542407,0,44.105000000000004
13,3,GO,0.9599999999999864,54.8,6.149999999999999,2.55,25.990047171341722,0,43.85
14,3,GO,1.0900000000000172,54.8,6.424999999999999,2.75,23.208744132888473,0,43.575
15,3,GO,1.1700000000000053,54.8,6.72,2.95,21.03342490111527,0,43.28
16,3,GO,1.2499999999999933,54.8,7.034999999999999,3.1500000000000004,19.01235222506648,0,42.965
17,3,GO,1.3299999999999814,54.8,7.369999999999999,3.3500000000000005,17.428736227674786,0,42.63
18,3,GO,1.4100000000000548,54.8,7.725,3.5500000000000007,16.01118732421205,0,42.275
19,3,GO,1.4900000000000002,54.8,8.1,3.750000000000001,14.840754091002209,0,41.9
20,3,GO,1.5699999999999457,54.8,8.495,3.950000000000001,13.658448116120848,0,41.505
21,3,GO,1.6500000000000616,54.8,8.91,4.150000000000001,12.689086381840985,0,41.09
22,3,GO,1.7299999999999645,54.8,9.345,4.350000000000001,11.882157641784778,0,40.655
23,3,GO,1.8099999999999952,54.8,9.8,4.550000000000002,11.184219556356505,0,40.2
24,3,GO,1.8899999999999832,54.8,10.275,4.750000000000002,10.454186841002262,0,39.725
25,3,GO,1.970000000000014,54.8,10.770000000000001,4.950000000000002,9.814806279479496,0,39.23
26,3,GO,2.0500000000000447,54.8,11.285000000000002,5.150000000000002,9.229626836175186,0,38.714999999999996
27,3,GO,2.12999999999999,54.8,11.820000000000002,5.350000000000002,8.66066123786536,0,38.18
28,3,GO,2.209999999999978,54.8,12.375000000000002,5.5500000000000025,8.259246399952794,0,37.625
29,3,GO,2.290000000000009,54.8,12.950000000000005,5.750000000000003,7.763852794978861,0,37.05
30,3,GO,2.369999999999997,54.8,13.545000000000002,5.950000000000003,7.411780169290087,0,36.455
31,3,GO,2.4500000000000277,54.8,14.160000000000005,6.150000000000003,6.976463488769193,0,35.839999999999996
32,3,GO,2.529999999999973,54.8,14.795000000000003,6.350000000000003,6.464544978443508,0,35.205
33,3,GO,2.610000000000004,54.8,15.450000000000005,6.550000000000003,5.978593615853027,0,34.55
34,3,GO,2.6900000000000346,54.8,16.125000000000004,6.7500000000000036,5.526989067192449,0,33.875
35,3,GO,2.76999999999998,54.8,16.820000000000004,6.950000000000004,5.094401484314565,0,33.17999999999999
36,3,GO,2.8500000000000107,54.8,17.535000000000004,7.150000000000004,4.682166943482155,0,32.464999999999996
37,3,GO,2.929999999999956,54.8,18.270000000000003,7.350000000000004,4.27905986309702,0,31.729999999999997
38,3,GO,3.0100000000000295,54.8,19.025000000000002,7.550000000000004,3.9207462550867462,0,30.974999999999994
39,3,GO,3.089999999999975,54.8,19.800000000000004,7.750000000000004,3.5728553017325666,0,30.199999999999996
40,3,GO,3.1700000000000483,54.8,20.595000000000006,7.950000000000005,3.2534365619390413,0,29.404999999999994
41,3,GO,0.24999999999999378,54.8,21.410000000000007,8.150000000000004,2.9449382046905126,0,28.58999999999999
42,4,ABORT,-0.45999999999998237,54.8,22.18500000000001,7.7500000000000036,2.8959993347463717,0,27.81499999999999
43,3,GO,0.11999999999996262,54.8,22.98000000000001,7.950000000000004,2.5932271828555495,0,27.01999999999999
44,3,GO,0.2500000000000364,54.8,23.795000000000012,8.150000000000004,2.318708580396349,0,26.204999999999984
45,3,GO,0.3299999999999814,54.8,24.630000000000013,8.350000000000003,2.054856246228415,0,25.36999999999999
46,3,GO,0.41000000000001213,54.8,25.48500000000001,8.550000000000002,1.797170639850294,0,24.514999999999986
47,3,GO,0.4900000000000002,54.8,26.360000000000014,8.750000000000002,1.5618884064239713,0,23.639999999999986
48,3,GO,0.5699999999999883,54.8,27.255000000000013,8.950000000000001,1.3418102881595961,0,22.74499999999999
49,0,STOP,0.420000000000014,54.8,28.125000000000018,8.700000000000001,1.2223934473590752,0,21.874999999999986
