step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,train_time_per_iter
4096,-185.0932370996471,10,-0.22890539467334747,1.6687219142913818,0,0.0,11.161855591140085,0.3173753116509106,1.5305781364440918,426.7276108264923
45056,125.8605728564266,10,0.10831256955862045,422.5277099609375,0,0.0,6.0512362031088776,0.0,1.2960493564605713,440.49819350242615
86016,223.90541523761772,10,-0.06925083696842194,126.58348083496094,1,0.1,6.9318710265645,0.0,0.9835671186447144,426.7842597961426
126976,275.53356142821326,10,0.04873456060886383,412.83905029296875,0,0.0,6.535549680101535,0.0,0.46766650676727295,449.2244186401367
167936,297.47282914257056,10,0.015133209526538849,157.71005249023438,1,0.1,6.095916587822141,0.0,0.12186094373464584,451.0663859844208
208896,314.24447428547546,10,-0.07676568627357483,98.32340240478516,1,0.1,6.352363187397714,0.0,0.2854175567626953,461.69491958618164
249856,323.14584938755036,10,-0.048400018364191055,39.87974548339844,1,0.1,5.851444465548089,0.0,0.28272420167922974,469.3075981140137
290816,332.5298682141066,10,0.048942163586616516,135.26614379882812,0,0.0,5.602250086858059,0.0,0.37878119945526123,476.0826551914215
331776,336.830216190317,10,0.10559569299221039,306.75726318359375,1,0.1,5.841817939978462,0.0,0.1490742415189743,474.066260099411
372736,344.5089945712853,10,0.0598958395421505,104.39909362792969,0,0.0,5.903494342889014,0.0,0.24623039364814758,464.5614957809448
