iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,405.82667541503906,405.8214604854584,14.696000814437866,33.86064529418945,0.0,11.059616036713123,-0.0711088702082634,11.130724906921387,1.5437039136886597,0.0,0.0,0.0,-1765.3876953125,500.0,8,0,0,8,0,0.09912109375,0.167724609375,0.199951171875,0.233642578125,0.299560546875
2,8192,1275.8148210048676,400.10325288772583,15.600538969039917,28.861242532730103,0.0,2.8544666171073914,-0.07661658525466919,2.9310832023620605,1.5404298305511475,0.0,0.0,0.0,-3010.22509765625,500.0,8,0,0,8,0,0.125244140625,0.2041015625,0.1494140625,0.270751953125,0.25048828125
3,12288,1687.1661140918732,411.3511166572571,15.189475774765015,31.744466543197632,0.0,10.024544447660446,-0.1225445568561554,10.147089004516602,1.4792438745498657,0.0,0.0,0.0,-2140.041015625,500.0,8,0,0,8,0,0.143310546875,0.199462890625,0.209228515625,0.297119140625,0.15087890625
4,16384,2089.537402153015,402.3711085319519,15.718446016311646,32.190983295440674,0.0,281.97418735921383,-0.11861659586429596,282.0928039550781,1.439532995223999,0.0,0.0,0.0,1594.387939453125,480.5,8,0,1,7,0,0.128173828125,0.248779296875,0.2587890625,0.275390625,0.0888671875
5,20480,2499.1188068389893,409.5812292098999,15.56898832321167,33.986764430999756,0.0,68.5405587926507,0.11497590690851212,68.42558288574219,1.4436042308807373,0.0,0.0,0.0,6319.41455078125,457.875,8,0,4,4,0,0.169921875,0.219482421875,0.219482421875,0.307373046875,0.083740234375
6,24576,2885.066408395767,385.94745326042175,15.48578429222107,31.02040958404541,0.0,410.90007960796356,-0.199957013130188,411.10003662109375,1.4293200969696045,0.0,0.0,0.0,4833.6328125,466.875,8,0,2,6,0,0.214599609375,0.188720703125,0.193359375,0.308837890625,0.094482421875
7,28672,3252.1938490867615,367.12731432914734,15.385748147964478,33.04144787788391,0.0,233.60901582241058,0.082450270652771,233.5265655517578,1.3873249292373657,0.0,0.0,0.0,14630.6875,407.1,10,0,8,2,0,0.144287109375,0.201171875,0.211181640625,0.349609375,0.09375
8,32768,3634.3826036453247,382.18859577178955,16.16986322402954,30.24243187904358,0.0,643.4912872761488,-0.11149592697620392,643.602783203125,1.3255736827850342,0.0,0.0,0.0,18669.716796875,339.8333333333333,12,0,12,0,0,0.12158203125,0.212158203125,0.208984375,0.371337890625,0.0859375
9,36864,4006.9334995746613,372.55071210861206,16.67069935798645,31.529637098312378,0.0,902.649659961462,-0.23663154244422913,902.8862915039062,1.2788887023925781,0.0,0.0,0.0,21596.58984375,292.7692307692308,13,0,13,0,0,0.109619140625,0.189697265625,0.20849609375,0.3916015625,0.1005859375
10,40960,4390.467657089233,383.5339787006378,17.452052116394043,32.63598442077637,0.0,550.9843683876097,0.05870920792222023,550.9256591796875,1.257851243019104,0.0,0.0,0.0,20733.392578125,262.0,15,0,15,0,0,0.1298828125,0.156005859375,0.174560546875,0.46044921875,0.0791015625
