step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.06999999999994544,54.8,4.119999999999999,0.2,10.0,0,45.88
1,2,YIELD,0.010000000000037514,54.8,4.137499999999999,0.17500000000000002,10.0,0,45.8625
2,3,GO,0.08999999999998294,54.8,4.174999999999999,0.375,10.0,0,45.825
3,1,CREEP,0.09999999999997612,54.8,4.214999999999999,0.4,10.0,0,45.785000000000004
4,3,GO,0.18000000000000682,54.8,4.274999999999999,0.6000000000000001,10.0,0,45.725
5,3,GO,0.3100000000000375,54.8,4.354999999999999,0.8,10.0,0,45.645
6,3,GO,0.3899999999999829,54.8,4.454999999999998,1.0,10.0,0,45.545
7,3,GO,0.47000000000001363,54.8,4.574999999999998,1.2,10.0,0,45.425000000000004
8,3,GO,0.5499999999999591,54.8,4.714999999999998,1.4,10.0,0,45.285000000000004
9,3,GO,0.6300000000000324,54.8,4.874999999999998,1.5999999999999999,45.25117140432302,0,45.125
10,3,GO,0.7099999999999778,54.8,5.054999999999998,1.7999999999999998,39.61738566455327,0,44.945
11,3,GO,0.7900000000000085,54.8,5.254999999999998,1.9999999999999998,34.55016358078492,0,44.745000000000005
12,2,YIELD,0.7300000000000153,54.8,5.452499999999998,1.9749999999999996,33.18087775749539,0,44.5475
13,3,GO,0.8100000000000034,54.8,5.669999999999998,2.175,28.937419612866925,0,44.33
14,3,GO,0.9399999999999915,54.8,5.907499999999998,2.375,25.62803867802462,0,44.0925
15,3,GO,1.0200000000000222,54.8,6.164999999999998,2.575,22.838944382656816,0,43.835
16,3,GO,1.0999999999999677,54.8,6.442499999999998,2.7750000000000004,20.612289571089143,0,43.557500000000005
17,3,GO,1.1799999999999984,54.8,6.7399999999999975,2.9750000000000005,18.719744896062544,0,43.260000000000005
18,3,GO,1.2599999999999865,54.8,7.057499999999998,3.1750000000000007,17.144783258703384,0,42.9425
19,3,GO,1.3400000000000172,54.8,7.394999999999998,3.375000000000001,15.713597319423325,0,42.605000000000004
20,3,GO,1.4200000000000053,54.8,7.752499999999998,3.575000000000001,14.506630842504599,0,42.2475
21,3,GO,1.500000000000036,54.8,8.129999999999999,3.7750000000000012,13.473560850327583,0,41.870000000000005
22,3,GO,1.5799999999999388,54.8,8.5275,3.9750000000000014,12.570952939211264,0,41.4725
23,3,GO,1.6600000000000548,54.8,8.945,4.175000000000002,11.721985034814299,0,41.055
24,3,GO,1.7400000000000002,54.8,9.3825,4.375000000000002,10.970202167677225,0,40.6175
25,3,GO,1.8199999999999457,54.8,9.84,4.575000000000002,10.29032422200921,0,40.16
26,1,CREEP,1.7500000000000446,54.8,10.2925,4.525000000000002,9.914961035506813,0,39.707499999999996
27,3,GO,1.82999999999999,54.8,10.765,4.725000000000002,9.366975429672719,0,39.235
28,1,CREEP,1.8100000000000036,54.8,11.232500000000002,4.6750000000000025,9.01801291330669,0,38.7675
29,3,GO,1.8900000000000343,54.8,11.720000000000002,4.875000000000003,8.536001919611437,0,38.28
30,3,GO,2.01999999999998,54.8,12.227500000000003,5.075000000000003,8.075779080126633,0,37.772499999999994
31,3,GO,2.1000000000000103,54.8,12.755000000000003,5.275000000000003,7.638109810609236,0,37.245
