step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,L_eik,L_bc_raw,L_bc_normalized,L_ground_raw,L_ground_normalized,L_distill,mean_rho,mean_T_succ,mean_T_coll,n_grounding_points,sigma_eik,sigma_bc,sigma_ground,alm_lambda,alm_mu,L_eik_alm_contribution,n_success_buffer,n_collision_buffer,n_intermediate_buffer,train_time_per_iter
4096,-42.11137227879499,10,-0.05073697865009308,4.0479841232299805,0,0.0,10.418074497170629,0.0,1.5296467542648315,6.047785758972168,0.0,0.0,0.0,0.0,0.07467398047447205,1.8859810829162598,0.0,0.0,0,0.0,0.9658979773521423,0.9658979773521423,0.0,1.0,18.287857055664062,0,0,0,900.8959822654724
45056,196.41582519168324,10,0.09446548670530319,269.2565002441406,0,0.0,6.591594158140755,0.0,1.400090217590332,3.06172513961792,41.902244567871094,46.864280700683594,1671.321533203125,584.0700073242188,0.03219033405184746,1.1776880025863647,6.471225738525391,0.0,128,0.0,0.9456130266189575,1.6918038129806519,528.2992833270691,625.0,4546.9326171875,152,0,1000,981.4213030338287
86016,237.76028360150303,10,0.10779516398906708,115.51603698730469,2,0.2,11.292607781464163,0.0,1.2649352550506592,3.0938050746917725,0.5242097973823547,0.5673653483390808,2040.5780029296875,612.380615234375,0.052032411098480225,1.0793747901916504,0.7212415933609009,0.0,128,0.0,0.961216390132904,1.82545006275177,94498.95444471971,10000.0,340219.5,1000,0,1000,1080.6360821723938
126976,313.2269609373691,10,-0.06275340914726257,179.56076049804688,0,0.0,11.483729909401244,0.41451166195317224,1.2210476398468018,4.090014457702637,0.1327548772096634,0.1436680406332016,2546.779296875,741.1512451171875,0.06702551990747452,1.3435125350952148,-0.35718998312950134,0.0,128,0.0,0.9612694978713989,1.8537253141403198,262364.6556926577,10000.0,1156716.375,1000,0,1000,1089.654491186142
167936,332.92044597059135,10,-0.05248025804758072,198.63116455078125,0,0.0,7.283406650850949,0.08509681376272585,1.206307053565979,2.818312883377075,17.898399353027344,19.184709548950195,1486.813720703125,410.6913146972656,0.07640354335308075,0.9969696998596191,-4.230620384216309,0.0,128,0.0,0.9658977389335632,1.9027423858642578,446621.0542936495,10000.0,1298432.25,1000,0,1000,1096.669014930725
208896,344.9712849768876,10,0.06730613857507706,69.95658874511719,0,0.0,5.848981866051324,0.0,1.2203328609466553,2.9533088207244873,6.735124111175537,6.944478988647461,1933.5653076171875,413.10626220703125,0.05865098908543587,1.0500240325927734,-2.593921184539795,0.0,128,0.0,0.9848141074180603,2.163553237915039,606593.1325047894,10000.0,1835067.0,1000,0,1000,1112.3782606124878
249856,369.47092504095326,10,0.11431558430194855,36.362571716308594,0,0.0,6.54589608162996,0.0,1.14018976688385,2.6076717376708984,8.11337661743164,8.212089538574219,2747.67236328125,359.9377136230469,0.0644993707537651,0.9207136034965515,-2.848385810852051,0.0,128,0.0,0.9939758777618408,2.763099431991577,723277.8973670828,10000.0,1920071.0,1000,0,1000,1114.4925758838654
290816,384.20672193086125,10,0.09114518016576767,40.89652633666992,0,0.0,6.670675658215352,0.0,1.1579241752624512,1.6718168258666992,4.858839988708496,4.375946998596191,3135.734619140625,210.22291564941406,0.06018951162695885,0.7472578287124634,-2.1992075443267822,0.0,128,0.0,1.0537464618682861,3.862818479537964,845520.0256712886,10000.0,1427529.5,1000,0,1000,976.340898513794
331776,404.77255282743215,10,-0.13263854384422302,51.63734817504883,0,0.0,7.139607606496042,0.0,1.0634021759033203,4.521346569061279,0.28086715936660767,0.2266269028186798,2491.5302734375,99.672607421875,0.061385203152894974,1.54457688331604,-0.5271506309509277,0.0,128,0.0,1.1132529973983765,5.000461101531982,1000942.672505338,10000.0,4627822.0,1000,0,1000,994.5277664661407
372736,414.43379115798564,10,0.14542321860790253,24.973411560058594,0,0.0,6.605498072026316,0.0,1.1115329265594482,1.697219967842102,1.489881992340088,1.0818322896957397,1861.806884765625,36.486968994140625,0.07774944603443146,0.7076905965805054,-1.2200794219970703,0.0,128,0.0,1.1735378503799438,7.144234657287598,1172045.8056827227,10000.0,2003622.25,1000,0,1000,980.2313647270203
