iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,797.8140275478363,797.330545425415,542.7571475505829,60.026055335998535,59.995458364486694,0.8613864406943321,0.14556586742401123,0.6188863515853882,1.5302096605300903,0.0,0.0,0.09693422168493271,-557.5350341796875,500.0,8,0,0,8,0,0.156982421875,0.279541015625,0.196044921875,0.157958984375,0.20947265625
2,8192,2381.905271053314,792.6312325000763,520.8052110671997,68.15074491500854,68.11973237991333,0.9553870148956776,-0.030346613377332687,0.707787811756134,1.5371204614639282,0.0,0.0,0.2779458165168762,-1407.0853271484375,500.0,8,0,0,8,0,0.181396484375,0.21435546875,0.225341796875,0.188232421875,0.190673828125
3,12288,3179.8040854930878,797.8986566066742,528.4538307189941,63.23603343963623,63.20512676239014,4.610547211021185,-0.04503879323601723,4.451492786407471,1.489025592803955,0.0,0.0,0.20409321784973145,-380.3494873046875,500.0,8,0,0,8,0,0.200439453125,0.211181640625,0.226806640625,0.243896484375,0.11767578125
4,16384,4002.4150352478027,822.6107785701752,543.828919172287,62.98942565917969,62.96151089668274,12.301465347409248,-0.07411257922649384,11.680705070495605,1.4782038927078247,0.0,0.0,0.6948728561401367,963.8060302734375,469.25,8,2,0,6,0,0.201904296875,0.185791015625,0.188720703125,0.323974609375,0.099609375
5,20480,4868.765518188477,866.3435640335083,591.5796148777008,71.30750393867493,71.27672052383423,28.300289291888475,-0.019164349883794785,26.44769859313965,1.4361844062805176,0.0,0.00686471164226532,1.8648903369903564,2225.3515625,468.875,8,2,0,6,0,0.1669921875,0.2001953125,0.206298828125,0.3330078125,0.093505859375
6,24576,5705.059380054474,836.2867517471313,552.2715938091278,69.2588062286377,69.22874188423157,116.3061366006732,0.05685948580503464,106.34154510498047,1.4256082773208618,0.0,0.0,9.907732009887695,2434.74267578125,416.0,9,6,0,3,0,0.164306640625,0.21533203125,0.18505859375,0.361083984375,0.07421875
7,28672,6556.784862995148,851.7059893608093,549.3543782234192,73.5390796661377,73.50810480117798,72.05649349093437,-0.001111745834350586,58.90304946899414,1.478149175643921,0.0,0.12588736414909363,13.028668403625488,1875.5150146484375,432.0,9,5,0,4,0,0.160400390625,0.212158203125,0.19677734375,0.318603515625,0.112060546875
8,32768,7434.066426515579,877.2706439495087,572.6308133602142,78.41024780273438,78.37935137748718,98.49032561480999,-0.07320733368396759,71.61662292480469,1.416882872581482,0.0,0.5055495500564575,26.441360473632812,1816.8934326171875,287.15384615384613,13,10,0,3,0,0.15234375,0.16943359375,0.215576171875,0.359375,0.103271484375
9,36864,8281.976353645325,847.8905725479126,536.9367172718048,76.57466840744019,76.54581832885742,155.3003972172737,0.03350156545639038,113.00047302246094,1.4169526100158691,0.0,1.6574558019638062,40.60896682739258,757.4864501953125,225.0,18,16,1,1,0,0.1103515625,0.19091796875,0.22021484375,0.387939453125,0.090576171875
10,40960,9165.598859786987,883.6048836708069,585.7018325328827,74.48819851875305,74.45693445205688,137.57802681997418,0.016886044293642044,87.91487121582031,1.469771146774292,0.0,1.3545825481414795,48.29168701171875,451.70550537109375,285.2142857142857,14,12,0,2,0,0.137451171875,0.20166015625,0.1953125,0.357421875,0.108154296875
11,45056,10040.60588645935,874.9802949428558,577.652829170227,75.14992833137512,75.12160444259644,310.98888206481934,-0.10627973079681396,271.45623779296875,1.449228286743164,0.0,1.3249591588974,38.31396484375,1144.2999267578125,294.7692307692308,13,11,1,1,0,0.138671875,0.178955078125,0.175537109375,0.361328125,0.1455078125
12,49152,11406.17136144638,904.5699515342712,597.2256109714508,76.54554843902588,76.51509118080139,64.47478302847594,0.011972959153354168,43.41812515258789,1.4809956550598145,0.0,0.2710929214954376,20.773591995239258,2655.51025390625,364.0,11,8,0,3,0,0.129638671875,0.166259765625,0.162109375,0.38330078125,0.15869140625
13,53248,12314.783826112747,908.5893783569336,593.7340891361237,82.48399591445923,82.454270362854,163.55650602281094,0.1681620329618454,110.23753356933594,1.4508506059646606,0.0,0.556186854839325,52.59462356567383,3061.15625,311.46153846153845,13,12,0,1,0,0.15771484375,0.16015625,0.151123046875,0.386962890625,0.14404296875
