step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,10.0,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,24.94163467951829,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,21.56152099155448,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,19.62530428844051,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,18.229177891278965,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,16.95759999076141,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,15.641854313979849,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,14.735855179661995,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,13.781241930865958,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,12.948778214257555,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,12.207323751467861,0,42.1
19,3,GO,1.5899999999999745,54.8,8.299999999999999,4.000000000000001,11.495706133975503,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,10.855386761692152,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,10.333113204128157,0,40.84
22,3,GO,1.830000000000024,54.8,9.62,4.600000000000001,9.77024805265916,0,40.38
23,3,GO,1.9099999999999695,54.8,10.1,4.800000000000002,9.295935973920805,0,39.9
24,3,GO,1.9900000000000002,54.8,10.6,5.000000000000002,8.810769705252842,0,39.4
25,3,GO,2.070000000000031,54.8,11.12,5.200000000000002,8.403883462194031,0,38.88
26,3,GO,2.1499999999999764,54.8,11.66,5.400000000000002,7.99846549564449,0,38.34
27,3,GO,2.230000000000007,54.8,12.22,5.600000000000002,7.007115168849991,0,37.78
28,3,GO,2.310000000000038,54.8,12.800000000000002,5.8000000000000025,6.049227182747297,0,37.2
29,3,GO,2.3899999999999832,54.8,13.4,6.000000000000003,5.678963372144106,0,36.6
30,3,GO,2.470000000000014,54.8,14.020000000000001,6.200000000000003,5.372628034010743,0,35.98
31,3,GO,2.5499999999999594,54.8,14.660000000000002,6.400000000000003,5.116774135212256,0,35.339999999999996
32,3,GO,2.62999999999999,54.8,15.32,6.600000000000003,4.846065003602446,0,34.68
33,3,GO,2.710000000000021,54.8,16.000000000000004,6.800000000000003,4.592256442852145,0,34.0
34,3,GO,2.790000000000009,54.8,16.700000000000003,7.0000000000000036,4.406479906148067,0,33.3
35,3,GO,2.869999999999997,54.8,17.42,7.200000000000004,4.168031812393611,0,32.58
36,3,GO,2.949999999999985,54.8,18.160000000000004,7.400000000000004,4.062030177514759,0,31.839999999999996
37,1,CREEP,2.8800000000000416,54.8,18.895000000000003,7.350000000000004,3.9048652693457875,0,31.104999999999997
38,1,CREEP,2.90999999999997,54.8,19.625000000000004,7.300000000000004,3.872425503266943,0,30.375
39,1,CREEP,2.8900000000000263,54.8,20.350000000000005,7.250000000000004,3.8271709035303276,0,29.64999999999999
40,1,CREEP,2.869999999999997,54.8,21.070000000000004,7.200000000000005,3.737352066930968,0,28.929999999999993
41,1,CREEP,2.849999999999968,54.8,21.785000000000004,7.150000000000005,3.6554114271158586,0,28.214999999999996
42,1,CREEP,2.8300000000000245,54.8,22.495000000000005,7.100000000000005,3.621104981610118,0,27.504999999999995
43,1,CREEP,2.810000000000038,54.8,23.200000000000006,7.050000000000005,3.4730847388305772,0,26.799999999999997
44,1,CREEP,2.7899999999999663,54.8,23.900000000000006,7.000000000000005,3.4308001034314497,0,26.099999999999994
45,1,CREEP,2.76999999999998,54.8,24.595000000000006,6.9500000000000055,3.4003299629802552,0,25.404999999999994
46,1,CREEP,2.7500000000000364,54.8,25.285000000000007,6.900000000000006,3.287884148109623,0,24.71499999999999
47,1,CREEP,2.7300000000000075,54.8,25.970000000000006,6.850000000000006,3.138163455695406,0,24.029999999999987
48,1,CREEP,2.7099999999999786,54.8,26.650000000000006,6.800000000000006,3.125050260287782,0,23.349999999999994
49,1,CREEP,-0.30999999999996497,54.8,27.325000000000006,6.750000000000006,2.9901919335364426,0,22.67499999999999
50,1,CREEP,2.6699999999999844,54.8,27.99500000000001,6.700000000000006,3.0262025187537147,0,22.00499999999999
51,1,CREEP,-0.35000000000000187,54.8,28.660000000000007,6.650000000000007,2.869328442046238,0,21.33999999999999
52,1,CREEP,-0.3699999999999881,54.8,29.320000000000007,6.600000000000007,2.8198809033316317,0,20.67999999999999
53,1,CREEP,-0.3899999999999961,54.8,29.975000000000016,6.550000000000007,2.694029767105396,0,20.024999999999988
54,1,CREEP,-0.4100000000000037,54.8,30.625000000000018,6.500000000000007,2.6030245169341826,0,19.374999999999986
55,1,CREEP,-0.42999999999998995,54.8,31.270000000000014,6.450000000000007,2.5582483844942603,0,18.729999999999986
56,1,CREEP,-0.4499999999999975,54.8,31.910000000000014,6.4000000000000075,2.4614648909526187,0,18.089999999999986
57,1,CREEP,-0.4700000000000051,54.8,32.545000000000016,6.350000000000008,2.4083973387166306,0,17.454999999999984
58,1,CREEP,-0.48999999999999133,54.8,33.17500000000002,6.300000000000008,2.3240482932724795,0,16.82499999999998
59,1,CREEP,-0.5099999999999989,54.8,33.80000000000002,6.250000000000008,2.298813141565984,0,16.19999999999998
60,1,CREEP,-0.5300000000000069,54.8,34.420000000000016,6.200000000000008,2.165773270813034,0,15.579999999999984
61,1,CREEP,-0.5499999999999932,54.8,35.03500000000002,6.150000000000008,2.1558953647801857,0,14.964999999999982
62,1,CREEP,-0.5700000000000007,54.8,35.64500000000002,6.1000000000000085,1.9872587423918233,0,14.354999999999983
63,1,CREEP,-0.5899999999999874,54.8,36.25000000000002,6.050000000000009,1.9787819238133382,0,13.749999999999979
64,1,CREEP,-0.609999999999995,54.8,36.85000000000002,6.000000000000009,1.9022219771411826,0,13.149999999999977
65,1,CREEP,-0.6300000000000026,54.8,37.44500000000002,5.950000000000009,1.7535857013253475,0,12.554999999999978
66,1,CREEP,-0.6499999999999888,54.8,38.035000000000025,5.900000000000009,1.6735008748923588,0,11.964999999999975
67,1,CREEP,-0.6699999999999964,54.8,38.620000000000026,5.850000000000009,1.6043564269396067,0,11.379999999999974
68,4,ABORT,-1.379999999999994,54.8,39.16500000000003,5.45000000000001,1.5684183600649524,0,10.834999999999972
69,4,ABORT,-1.4899999999999913,54.8,39.67000000000003,5.05000000000001,1.604760449714129,0,10.32999999999997
70,1,CREEP,-1.059999999999999,54.8,40.17000000000003,5.00000000000001,1.4860066895029278,0,9.82999999999997
71,1,CREEP,-1.0299999999999851,54.8,40.665000000000035,4.95000000000001,1.4918695095338277,0,9.334999999999965
72,4,ABORT,-1.740000000000004,54.8,41.12000000000003,4.55000000000001,1.4955931859509886,0,8.879999999999967
73,1,CREEP,-1.2599999999999907,54.8,41.570000000000036,4.50000000000001,1.3924736267566018,0,8.429999999999964
74,1,CREEP,-1.2299999999999982,54.8,42.015000000000036,4.45000000000001,1.3184900488867581,0,7.984999999999964
