iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,340.81241822242737,340.8085238933563,18.281432628631592,85.62521147727966,85.59829711914062,46.875064104795456,0.12018010020256042,33.874610900878906,1.4360647201538086,0.0,0.6175854206085205,12.262687683105469,708.8018798828125,406.44444444444446,9,4,0,5,0,0.171142578125,0.18017578125,0.210205078125,0.324951171875,0.113525390625
2,8192,777.8572249412537,320.3229217529297,16.89912486076355,60.922141790390015,60.89248728752136,3.8369404524564743,-0.03233231604099274,3.261953353881836,1.4702703952789307,0.0,0.0,0.6073194146156311,1071.4991455078125,500.0,8,0,0,8,0,0.21484375,0.214111328125,0.226318359375,0.238525390625,0.106201171875
3,12288,1102.2361471652985,324.3787591457367,17.715960264205933,79.53082609176636,79.5021607875824,140.55208853632212,-0.0027562007308006287,112.21283721923828,1.4070804119110107,0.0,0.5661038160324097,27.775903701782227,1033.4151611328125,286.84615384615387,13,11,0,2,0,0.16064453125,0.228759765625,0.185791015625,0.33349609375,0.09130859375
4,16384,1431.6876287460327,329.4272470474243,17.525516748428345,81.71161341667175,81.68135976791382,120.71453780308366,0.048875514417886734,80.76145935058594,1.4234741926193237,0.0,1.7054533958435059,38.19874954223633,-6.781853675842285,225.61111111111111,18,17,0,1,0,0.137451171875,0.23779296875,0.189453125,0.361572265625,0.07373046875
5,20480,1759.676426410675,327.95679688453674,17.777098417282104,74.89555954933167,74.86460256576538,77.25327581167221,0.002042233943939209,41.47506332397461,1.4099297523498535,0.0,2.425248622894287,33.350921630859375,-1.3921072483062744,278.64285714285717,14,10,0,4,0,0.16259765625,0.22998046875,0.2080078125,0.329345703125,0.070068359375
6,24576,2095.4178519248962,335.7302098274231,17.48178505897522,80.09184837341309,80.06036758422852,147.80768731236458,-0.06261178851127625,90.89032745361328,1.4079924821853638,0.0,1.5670573711395264,55.41291427612305,-98.90621948242188,246.0,15,14,0,1,0,0.164794921875,0.22021484375,0.20947265625,0.343994140625,0.0615234375
7,28672,2425.594398498535,330.14936423301697,17.836397171020508,75.42521810531616,75.39415526390076,161.41243658401072,-0.018578430637717247,117.94926452636719,1.416865587234497,0.0,1.7650070190429688,41.71674346923828,-52.533138275146484,254.8,15,13,0,2,0,0.166015625,0.192138671875,0.218505859375,0.333251953125,0.090087890625
8,32768,2750.913074016571,325.3023102283478,17.795298099517822,83.31150317192078,83.2819333076477,123.91502589732409,-0.03659992665052414,75.6953125,1.4276747703552246,0.0,1.9035606384277344,46.352752685546875,693.1707763671875,285.84615384615387,13,10,0,3,0,0.196044921875,0.16943359375,0.224365234375,0.30859375,0.1015625
9,36864,3086.83988237381,335.9060757160187,17.6004855632782,77.5480260848999,77.51664471626282,156.60168037563562,0.1248924508690834,84.70526123046875,1.418601632118225,0.0,0.9144786596298218,70.85704803466797,2021.82568359375,264.8,15,13,0,2,0,0.18408203125,0.1826171875,0.240234375,0.315185546875,0.077880859375
10,40960,3416.201560974121,329.33403038978577,17.720215320587158,81.92176651954651,81.89258599281311,76.37047588825226,-0.04808245599269867,37.21605682373047,1.4527685642242432,0.0,0.13554595410823822,39.06695556640625,3272.310302734375,393.3,10,6,0,4,0,0.171875,0.17822265625,0.25244140625,0.29296875,0.1044921875
11,45056,3737.5820138454437,321.3695306777954,17.932979583740234,80.55385732650757,80.52281355857849,65.30109222978354,-0.048049844801425934,45.14981460571289,1.4282162189483643,0.0,0.3462371826171875,19.853090286254883,4376.54541015625,392.1,10,8,0,2,0,0.23193359375,0.176513671875,0.20751953125,0.301513671875,0.08251953125
12,49152,4164.764828681946,326.7053165435791,17.830148458480835,79.45418310165405,79.42233991622925,71.11291064321995,0.04238186776638031,50.184051513671875,1.416182279586792,0.0,0.0921047031879425,20.79437255859375,2101.402587890625,339.9166666666667,12,9,0,3,0,0.22412109375,0.209228515625,0.216552734375,0.270751953125,0.079345703125
13,53248,4501.501020431519,336.7118673324585,17.839731693267822,80.91379451751709,80.88148021697998,128.14128760248423,-0.09452466666698456,88.55049133300781,1.469883918762207,0.0,0.06570728868246078,39.61961364746094,2607.78076171875,345.72727272727275,11,8,0,3,0,0.199462890625,0.185791015625,0.212890625,0.294189453125,0.107666015625
14,57344,4834.61420917511,333.0996277332306,18.144583702087402,71.51584696769714,71.48444890975952,212.44923567771912,-0.03743860125541687,179.19009399414062,1.445151925086975,0.0,0.10739418864250183,33.189186096191406,4028.591064453125,428.8888888888889,9,3,1,5,0,0.20556640625,0.22265625,0.2109375,0.264404296875,0.096435546875
15,61440,5166.218536138535,331.59442234039307,18.386775732040405,83.5605685710907,83.52945017814636,40.99262619763613,0.014391638338565826,28.072860717773438,1.4499778747558594,0.0,0.4224732220172882,12.482900619506836,2560.8037109375,497.5,8,1,0,7,0,0.200927734375,0.24365234375,0.22802734375,0.22314453125,0.104248046875
16,65536,5521.495558977127,355.27386689186096,17.960015773773193,86.56100511550903,86.53013110160828,200.21402850747108,0.17123422026634216,134.00181579589844,1.399055004119873,0.0,0.38286691904067993,65.65811157226562,4386.048828125,268.42857142857144,14,12,2,0,0,0.174072265625,0.21142578125,0.20556640625,0.3271484375,0.081787109375
17,69632,5851.515665054321,329.99322175979614,18.215405464172363,74.91269373893738,74.88149976730347,48.57149535417557,0.048196494579315186,29.584266662597656,1.4276483058929443,0.0,0.17453444004058838,18.764497756958008,1400.8558349609375,364.27272727272725,11,8,0,3,0,0.195068359375,0.26025390625,0.181884765625,0.254638671875,0.108154296875
18,73728,6199.770711898804,348.23161005973816,17.83313012123108,84.30331683158875,84.27543663978577,45.58416283130646,-0.147596538066864,32.86150360107422,1.3842443227767944,0.0,0.2928650975227356,12.577390670776367,2580.52392578125,416.55555555555554,9,6,0,3,0,0.191162109375,0.27490234375,0.18115234375,0.2763671875,0.076416015625
19,77824,6542.574085950851,342.7903006076813,18.108765840530396,75.6851499080658,75.65566849708557,37.6119606141001,0.028980160132050514,25.987972259521484,1.3839898109436035,0.0,0.31926852464675903,11.275739669799805,2352.943359375,426.44444444444446,9,5,0,4,0,0.25439453125,0.246337890625,0.154052734375,0.261962890625,0.083251953125
20,81920,6887.462545871735,344.8724720478058,17.80412983894348,81.29375147819519,81.26295042037964,191.78662809729576,0.12147116661071777,119.98785400390625,1.3517907857894897,0.0,0.4505191743373871,71.2267837524414,2942.427978515625,345.8181818181818,11,9,1,1,0,0.251953125,0.269775390625,0.11328125,0.2939453125,0.071044921875
