step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,47.43886544480272,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,35.16585137590532,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,30.503578228040784,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,27.70109825509681,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,25.167680541868428,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,22.352211993181776,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,20.826643213482853,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,19.02668376877031,0,44.08
13,4,ABORT,0.32000000000003925,54.8,6.139999999999998,2.2,22.344518060049,0,43.86
14,3,GO,0.8999999999999846,54.8,6.379999999999998,2.4000000000000004,20.480740086289092,0,43.620000000000005
15,3,GO,1.0300000000000153,54.8,6.639999999999998,2.6000000000000005,18.666225975232805,0,43.36
16,3,GO,1.1099999999999608,54.8,6.919999999999998,2.8000000000000007,17.140649961812205,0,43.08
17,3,GO,1.1900000000000341,54.8,7.219999999999998,3.000000000000001,16.146450484569126,0,42.78
18,3,GO,1.2699999999999796,54.8,7.539999999999998,3.200000000000001,14.8330742122898,0,42.46
19,3,GO,1.3500000000000103,54.8,7.879999999999999,3.4000000000000012,13.910642789640898,0,42.120000000000005
20,3,GO,1.430000000000041,54.8,8.239999999999998,3.6000000000000014,12.843585983205095,0,41.760000000000005
21,3,GO,1.5099999999999865,54.8,8.62,3.8000000000000016,12.120965567101797,0,41.38
22,3,GO,1.5900000000000172,54.8,9.02,4.000000000000002,11.32928003218732,0,40.980000000000004
23,3,GO,1.6699999999999626,54.8,9.44,4.200000000000002,10.699274400970868,0,40.56
24,3,GO,1.7499999999999933,54.8,9.879999999999999,4.400000000000002,10.113167321521072,0,40.120000000000005
25,3,GO,1.830000000000024,54.8,10.34,4.600000000000002,9.511824242339943,0,39.66
26,3,GO,1.9099999999999695,54.8,10.82,4.8000000000000025,8.980154094857616,0,39.18
27,3,GO,1.9900000000000002,54.8,11.32,5.000000000000003,8.436839703691579,0,38.68
28,3,GO,2.070000000000031,54.8,11.84,5.200000000000003,7.912303977654589,0,38.16
29,3,GO,2.1499999999999764,54.8,12.38,5.400000000000003,7.5626403130292275,0,37.62
30,2,YIELD,2.0899999999999834,54.8,12.917500000000002,5.3750000000000036,7.529383877796367,0,37.082499999999996
31,3,GO,2.170000000000014,54.8,13.475,5.575000000000004,7.094131873913939,0,36.525
32,1,CREEP,2.150000000000028,54.8,14.0275,5.525000000000004,7.01590608292935,0,35.9725
33,1,CREEP,2.179999999999999,54.8,14.575000000000001,5.475000000000004,7.025952702881051,0,35.425
34,3,GO,2.2100000000000297,54.8,15.142500000000004,5.675000000000004,6.626589896954937,0,34.857499999999995
35,3,GO,2.339999999999975,54.8,15.730000000000006,5.875000000000004,6.256524308568911,0,34.269999999999996
36,4,ABORT,1.6299999999999988,54.8,16.277500000000003,5.475000000000005,6.714866013005839,0,33.7225
37,1,CREEP,2.10999999999997,54.8,16.820000000000004,5.425000000000005,6.677919572420804,0,33.17999999999999
38,0,STOP,2.010000000000038,54.8,17.337500000000006,5.175000000000005,7.0380457742624145,0,32.662499999999994
39,3,GO,2.089999999999984,54.8,17.875000000000007,5.375000000000005,6.631632636567925,0,32.12499999999999
40,1,CREEP,2.069999999999997,54.8,18.407500000000006,5.3250000000000055,6.6411846356307045,0,31.592499999999994
41,1,CREEP,2.1000000000000107,54.8,18.935000000000006,5.275000000000006,6.57504119295033,0,31.064999999999998
42,1,CREEP,2.0800000000000245,54.8,19.457500000000007,5.225000000000006,6.523125283047232,0,30.54249999999999
43,4,ABORT,1.3700000000000057,54.8,19.94000000000001,4.825000000000006,7.087080208618322,0,30.059999999999988
44,1,CREEP,1.8500000000000194,54.8,20.417500000000008,4.775000000000007,7.080213911729018,0,29.582499999999996
45,4,ABORT,1.1900000000000006,54.8,20.855000000000008,4.375000000000007,7.783845729972712,0,29.144999999999996
46,1,CREEP,1.6699999999999717,54.8,21.28750000000001,4.325000000000007,7.889423661245038,0,28.71249999999999
47,1,CREEP,1.6999999999999855,54.8,21.71500000000001,4.2750000000000075,7.804750509017756,0,28.28499999999999
48,1,CREEP,1.6800000000000417,54.8,22.13750000000001,4.225000000000008,7.843636357014963,0,27.86249999999999
49,3,GO,1.709999999999987,54.8,22.580000000000013,4.425000000000008,7.301021364321928,0,27.419999999999987
50,3,GO,1.8400000000000178,54.8,23.042500000000015,4.625000000000008,6.845428260184315,0,26.957499999999982
51,1,CREEP,1.769999999999989,54.8,23.500000000000014,4.575000000000008,6.8266201235692465,0,26.499999999999986
52,1,CREEP,1.8000000000000025,54.8,23.952500000000015,4.525000000000008,6.913650586569621,0,26.047499999999985
53,3,GO,1.8299999999999905,54.8,24.425000000000015,4.7250000000000085,6.415015323873418,0,25.57499999999999
54,1,CREEP,1.8100000000000043,54.8,24.892500000000016,4.675000000000009,6.456687338017102,0,25.107499999999987
55,1,CREEP,1.840000000000018,54.8,25.355000000000018,4.625000000000009,6.448007736655999,0,24.644999999999982
56,1,CREEP,1.8200000000000316,54.8,25.81250000000002,4.575000000000009,6.436037464662064,0,24.187499999999986
57,1,CREEP,1.79999999999996,54.8,26.26500000000002,4.525000000000009,6.4461902544379335,0,23.734999999999985
58,1,CREEP,1.7800000000000162,54.8,26.712500000000016,4.475000000000009,6.422933731697247,0,23.28749999999998
59,2,YIELD,1.720000000000023,54.8,27.157500000000017,4.45000000000001,6.339335891486182,0,22.84249999999998
60,3,GO,1.8000000000000111,54.8,27.62250000000002,4.65000000000001,5.91661002259208,0,22.377499999999984
61,4,ABORT,1.1399999999999713,54.8,28.047500000000017,4.250000000000011,6.613759032251087,0,21.95249999999998
62,1,CREEP,1.620000000000006,54.8,28.46750000000002,4.200000000000011,6.61116270298091,0,21.532499999999978
63,1,CREEP,1.65000000000002,54.8,28.88250000000002,4.150000000000011,6.655453148795982,0,21.117499999999975
64,1,CREEP,1.629999999999991,54.8,29.292500000000025,4.100000000000011,6.695607057871663,0,20.707499999999975
65,1,CREEP,1.6100000000000045,54.8,29.697500000000026,4.050000000000011,6.730220240451967,0,20.302499999999974
66,3,GO,1.640000000000014,54.8,30.122500000000027,4.2500000000000115,6.175257556228116,0,19.877499999999973
67,0,STOP,1.539999999999997,54.8,30.522500000000026,4.0000000000000115,6.631188203365997,0,19.47749999999997
68,1,CREEP,1.5200000000000105,54.8,30.91750000000003,3.9500000000000117,6.62555537308211,0,19.08249999999997
69,0,STOP,1.4199999999999935,54.8,31.287500000000033,3.7000000000000117,7.164101009813355,0,18.71249999999997
70,3,GO,1.5000000000000029,54.8,31.67750000000003,3.900000000000012,6.608603905318205,0,18.32249999999997
71,1,CREEP,1.4799999999999953,54.8,32.06250000000003,3.850000000000012,6.639140124101593,0,17.93749999999997
72,1,CREEP,1.510000000000009,54.8,32.44250000000003,3.8000000000000123,6.695074481380814,0,17.55749999999997
73,1,CREEP,1.4900000000000013,54.8,32.81750000000003,3.7500000000000124,6.676176080644336,0,17.18249999999997
74,1,CREEP,1.4700000000000149,54.8,33.187500000000036,3.7000000000000126,6.7010411847354785,0,16.812499999999964
