iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,1339.5150508880615,1333.4225254058838,879.5862457752228,40.117419958114624,0.0,1.175610776990652,0.004939552396535873,1.1706712245941162,1.505178689956665,0.0,0.0,0.0,-828.1473388671875,500.0,8,0,0,8,0,0.119140625,0.232421875,0.214599609375,0.154541015625,0.279296875
2,8192,4055.023868560791,1377.392268896103,921.3796894550323,39.995728492736816,0.0,2.4774372801184654,-0.030675150454044342,2.5081124305725098,1.4742484092712402,0.0,0.0,0.0,-783.0173950195312,500.0,8,0,0,8,0,0.09765625,0.22705078125,0.23095703125,0.232421875,0.2119140625
3,12288,5393.774588346481,1338.750559091568,880.758335351944,39.43014693260193,0.0,11.918741147965193,-0.038755495101213455,11.957496643066406,1.4463471174240112,0.0,0.0,0.0,1063.5899658203125,494.5,8,1,0,7,0,0.097900390625,0.21875,0.224609375,0.3173828125,0.141357421875
4,16384,6752.841187000275,1359.0623939037323,905.1979269981384,36.89090847969055,0.0,101.47628404200077,-0.05424879491329193,101.53053283691406,1.3634796142578125,0.0,0.0,0.0,1759.6083984375,323.9166666666667,12,10,0,2,0,0.078369140625,0.194580078125,0.3447265625,0.318359375,0.06396484375
5,20480,8120.795935630798,1367.929437160492,910.2016246318817,40.5654616355896,0.0,91.48194835335016,-0.051895640790462494,91.53384399414062,1.3380563259124756,0.0,0.0,0.0,1685.4246826171875,290.5,14,12,0,2,0,0.057373046875,0.196533203125,0.33349609375,0.32568359375,0.0869140625
6,24576,9507.42275261879,1386.5994939804077,918.815938949585,37.390796422958374,0.0,120.8973074927926,0.049483396112918854,120.84782409667969,1.305882453918457,0.0,0.0,0.0,931.8904418945312,208.68421052631578,19,18,1,0,0,0.025634765625,0.161865234375,0.400634765625,0.334228515625,0.07763671875
7,28672,10886.197033643723,1378.7413589954376,919.3260538578033,36.49348211288452,0.0,169.675814229995,0.005632955580949783,169.67018127441406,1.3563697338104248,0.0,0.0,0.0,1617.22021484375,213.94736842105263,19,19,0,0,0,0.0419921875,0.185302734375,0.38525390625,0.323974609375,0.0634765625
8,32768,12287.610243082047,1401.376488685608,936.9725184440613,39.05398631095886,0.0,96.681461840868,0.18974736332893372,96.49171447753906,1.3928945064544678,0.0,0.0,0.0,123.91072082519531,290.35714285714283,14,13,0,1,0,0.05224609375,0.16162109375,0.40380859375,0.282958984375,0.099365234375
9,36864,13714.70274066925,1427.0598809719086,961.9617354869843,39.27518701553345,0.0,48.15850509703159,-0.0698617547750473,48.22836685180664,1.4373222589492798,0.0,0.0,0.0,-433.46759033203125,405.8,10,5,0,5,0,0.088623046875,0.152587890625,0.37255859375,0.245849609375,0.140380859375
10,40960,15082.280204296112,1367.5682108402252,913.2317888736725,39.58454632759094,0.0,40.83427105844021,-0.15095843374729156,40.9852294921875,1.3906307220458984,0.0,0.0,0.0,2528.952392578125,383.4,10,6,0,4,0,0.0732421875,0.17919921875,0.367919921875,0.267333984375,0.1123046875
11,45056,16480.740520000458,1398.4496128559113,941.6786532402039,39.12635684013367,0.0,111.48000686615705,-0.0320323184132576,111.51203918457031,1.3784478902816772,0.0,0.0,0.0,2370.8876953125,254.4,15,14,0,1,0,0.08740234375,0.15185546875,0.376708984375,0.296142578125,0.087890625
12,49152,18225.259050130844,1384.8258872032166,924.4459629058838,38.62644386291504,0.0,63.51294818520546,0.1792384684085846,63.333709716796875,1.3680535554885864,0.0,0.0,0.0,1626.842041015625,282.07142857142856,14,14,0,0,0,0.1005859375,0.159423828125,0.356201171875,0.27392578125,0.10986328125
13,53248,19592.297126293182,1367.0016396045685,904.1293292045593,37.690674781799316,0.0,77.92303003743291,0.05591120198369026,77.86711883544922,1.427660584449768,0.0,0.0,0.0,-468.3392639160156,308.8333333333333,12,10,0,2,0,0.1181640625,0.1513671875,0.324951171875,0.277587890625,0.1279296875
14,57344,21003.072768211365,1410.7571513652802,961.1733272075653,39.928274154663086,0.0,50.09880696237087,0.06118260324001312,50.03762435913086,1.3751811981201172,0.0,0.0,0.0,904.7008056640625,348.0,11,9,0,2,0,0.146484375,0.14404296875,0.342529296875,0.240478515625,0.12646484375
15,61440,22433.658630371094,1430.5588743686676,966.9989686012268,37.52166485786438,0.0,14.931683655828238,0.05684196576476097,14.874841690063477,1.4294357299804688,0.0,0.0,0.0,-38.450927734375,400.0,10,6,0,4,0,0.16748046875,0.13037109375,0.333740234375,0.238037109375,0.13037109375
16,65536,23849.36160850525,1415.6838529109955,945.8689002990723,38.927470684051514,0.0,45.93850167840719,0.07106240838766098,45.86743927001953,1.399193525314331,0.0,0.0,0.0,3040.475830078125,364.9,10,7,0,3,0,0.16552734375,0.119384765625,0.314697265625,0.25390625,0.146484375
17,69632,25251.457478284836,1402.0827782154083,944.2549166679382,35.95130181312561,0.0,43.20772671699524,-0.12541842460632324,43.33314514160156,1.3718663454055786,0.0,0.0,0.0,1621.25537109375,344.72727272727275,11,10,0,1,0,0.220458984375,0.137451171875,0.2529296875,0.2666015625,0.12255859375
18,73728,26709.429078817368,1457.9515759944916,987.2066669464111,37.711121797561646,0.0,45.415236577391624,0.05790625512599945,45.357330322265625,1.4062033891677856,0.0,0.0,0.0,2480.126220703125,351.45454545454544,11,9,0,2,0,0.194091796875,0.146728515625,0.2685546875,0.26806640625,0.12255859375
19,77824,28083.124191761017,1373.677862405777,910.6730055809021,40.694777727127075,0.0,19.920140892267227,-0.04563364386558533,19.965774536132812,1.4260156154632568,0.0,0.0,0.0,1828.6412353515625,438.0,9,4,0,5,0,0.205810546875,0.1435546875,0.26171875,0.26171875,0.127197265625
20,81920,29510.87383699417,1427.7411432266235,973.1141450405121,37.89373469352722,0.0,8.088407039642334,-0.0382542610168457,8.12666130065918,1.4003806114196777,0.0,0.0,0.0,4152.728515625,500.0,8,0,0,8,0,0.23876953125,0.15380859375,0.235107421875,0.258056640625,0.1142578125
21,86016,30925.606379270554,1414.732369184494,962.0386400222778,37.27146768569946,0.0,97.39873269572854,0.04723123088479042,97.35150146484375,1.4426581859588623,0.0,0.0,0.0,4002.423583984375,432.22222222222223,9,3,1,5,0,0.210693359375,0.197998046875,0.238037109375,0.26708984375,0.086181640625
22,90112,32855.95859718323,1394.3378372192383,943.5939395427704,36.75483322143555,0.0,36.81715006381273,0.0578269436955452,36.75932312011719,1.3974361419677734,0.0,0.0,0.0,3655.627685546875,443.22222222222223,9,4,0,5,0,0.24951171875,0.11767578125,0.301025390625,0.2607421875,0.071044921875
23,94208,34227.34730672836,1371.374544620514,932.270185470581,38.31768798828125,0.0,59.584378719329834,0.13096380233764648,59.45341491699219,1.3481009006500244,0.0,0.0,0.0,2553.24609375,335.75,12,9,0,3,0,0.221435546875,0.14111328125,0.2802734375,0.291259765625,0.06591796875
24,98304,35626.086411476135,1398.7246663570404,955.7632393836975,37.3135199546814,0.0,21.63685430586338,-0.032569751143455505,21.669424057006836,1.3784459829330444,0.0,0.0,0.0,3139.709716796875,459.75,8,2,0,6,0,0.255859375,0.14892578125,0.2705078125,0.256103515625,0.068603515625
