step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,10.0,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,25.23518319661218,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,21.81684032568794,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,19.85924653417069,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,18.448113875143836,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,17.162967075289586,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,15.83296473126253,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,14.917676274233806,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,13.953087789925036,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,13.112086009942837,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,12.363170598303364,0,42.1
19,3,GO,1.5899999999999745,54.8,8.299999999999999,4.000000000000001,11.644376972877446,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,10.997712719078587,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,10.470618855084476,0,40.84
22,3,GO,1.830000000000024,54.8,9.62,4.600000000000001,9.902299235953112,0,40.38
23,3,GO,1.9099999999999695,54.8,10.1,4.800000000000002,9.423674934924843,0,39.9
24,3,GO,1.9900000000000002,54.8,10.6,5.000000000000002,8.933949844948694,0,39.4
25,3,GO,2.070000000000031,54.8,11.12,5.200000000000002,8.523552787828613,0,38.88
26,3,GO,2.1499999999999764,54.8,11.66,5.400000000000002,8.114576481006516,0,38.34
27,3,GO,2.230000000000007,54.8,12.22,5.600000000000002,7.7478391585466175,0,37.78
28,3,GO,2.310000000000038,54.8,12.800000000000002,5.8000000000000025,6.957580360457153,0,37.2
29,3,GO,2.3899999999999832,54.8,13.4,6.000000000000003,6.34101336717174,0,36.6
30,3,GO,2.470000000000014,54.8,14.020000000000001,6.200000000000003,5.9896736350855075,0,35.98
31,3,GO,2.5499999999999594,54.8,14.660000000000002,6.400000000000003,5.647148899874374,0,35.339999999999996
32,3,GO,2.62999999999999,54.8,15.32,6.600000000000003,5.399480940495506,0,34.68
33,3,GO,2.710000000000021,54.8,16.000000000000004,6.800000000000003,5.131974864123657,0,34.0
34,3,GO,2.790000000000009,54.8,16.700000000000003,7.0000000000000036,4.8516007066006,0,33.3
35,3,GO,2.869999999999997,54.8,17.42,7.200000000000004,4.569223929196887,0,32.58
36,3,GO,2.949999999999985,54.8,18.160000000000004,7.400000000000004,4.344817445984858,0,31.839999999999996
37,3,GO,3.0300000000000584,54.8,18.920000000000005,7.600000000000004,4.108325779710156,0,31.08
38,3,GO,3.110000000000004,54.8,19.700000000000006,7.800000000000004,3.8848719004434447,0,30.299999999999997
39,3,GO,3.1899999999999493,54.8,20.500000000000007,8.000000000000004,3.679271040526841,0,29.499999999999993
40,3,GO,3.2700000000000227,54.8,21.320000000000007,8.200000000000003,3.4716110761954595,0,28.679999999999993
41,3,GO,3.3500000000000103,54.8,22.160000000000007,8.400000000000002,3.3081134755585113,0,27.83999999999999
42,3,GO,3.4299999999999984,54.8,23.020000000000007,8.600000000000001,3.122013829839024,0,26.97999999999999
43,3,GO,0.5099999999999865,54.8,23.900000000000006,8.8,2.9558573961733323,0,26.099999999999994
44,3,GO,0.5900000000000172,54.8,24.8,9.0,2.76516102472011,0,25.199999999999996
45,0,STOP,0.4400000000000002,54.8,25.675000000000008,8.75,2.737410215010569,0,24.324999999999996
46,0,STOP,0.3899999999999828,54.8,26.525000000000006,8.5,2.728784247850279,0,23.474999999999994
47,0,STOP,0.2900000000000085,54.8,27.35000000000001,8.25,2.7235377321475522,0,22.64999999999999
48,0,STOP,0.1899999999999915,54.8,28.150000000000002,8.0,2.731904476210621,0,21.849999999999994
49,0,STOP,0.08999999999999586,54.8,28.925000000000008,7.75,2.7729093765694013,0,21.074999999999996
50,0,STOP,-0.009999999999999787,54.8,29.675000000000004,7.5,2.7544736127790737,0,20.324999999999996
51,0,STOP,-0.10999999999999588,54.8,30.400000000000002,7.25,2.7879175876792903,0,19.599999999999994
52,0,STOP,-0.20999999999999153,54.8,31.100000000000005,7.0,2.812913625792713,0,18.899999999999995
53,0,STOP,-0.3100000000000085,54.8,31.775000000000006,6.75,2.8674689396313338,0,18.224999999999994
54,0,STOP,-0.41000000000000414,54.8,32.425000000000004,6.5,2.9197087175277416,0,17.574999999999996
55,0,STOP,2.49,54.8,33.050000000000004,6.25,3.0333838295315876,0,16.949999999999996
56,0,STOP,2.390000000000004,54.8,33.650000000000006,6.0,3.1013952219006815,0,16.349999999999994
57,0,STOP,2.2900000000000085,54.8,34.22500000000001,5.75,3.235239496400708,0,15.774999999999991
58,0,STOP,2.1899999999999915,54.8,34.775000000000006,5.5,3.3636094460530725,0,15.224999999999994
59,0,STOP,2.089999999999996,54.8,35.300000000000004,5.25,3.512596371692634,0,14.699999999999996
60,0,STOP,1.99,54.8,35.800000000000004,5.0,3.699004006981772,0,14.199999999999996
61,0,STOP,1.8900000000000043,54.8,36.275000000000006,4.75,3.895917080668762,0,13.724999999999994
62,0,STOP,1.7900000000000085,54.8,36.72500000000001,4.5,4.1166618784654965,0,13.274999999999991
63,0,STOP,1.6899999999999915,54.8,37.150000000000006,4.25,4.405941939408325,0,12.849999999999994
64,0,STOP,1.5899999999999959,54.8,37.550000000000004,4.0,4.777331966858716,0,12.449999999999996
65,0,STOP,1.49,54.8,37.925000000000004,3.75,5.153472490597187,0,12.074999999999996
66,0,STOP,1.3900000000000043,54.8,38.275000000000006,3.5,5.625214899314606,0,11.724999999999994
67,3,GO,1.4199999999999924,54.8,38.645,3.7,5.142507823211228,0,11.354999999999997
68,3,GO,1.5500000000000018,54.8,39.035000000000004,3.9000000000000004,4.69958080986331,0,10.964999999999996
69,3,GO,1.62999999999999,54.8,39.445,4.1000000000000005,4.248447437530043,0,10.555
70,0,STOP,1.479999999999994,54.8,39.83,3.8500000000000005,4.622922919525735,0,10.170000000000002
71,0,STOP,1.4299999999999984,54.8,40.19,3.6000000000000005,5.016850840280743,0,9.810000000000002
72,3,GO,1.4600000000000077,54.8,40.57,3.8000000000000007,4.585491407951655,0,9.43
73,0,STOP,1.3599999999999908,54.8,40.925,3.5500000000000007,5.003387408076727,0,9.075000000000003
74,3,GO,1.4400000000000002,54.8,41.3,3.750000000000001,4.543362289925052,0,8.700000000000003
75,0,STOP,1.3400000000000043,54.8,41.65,3.500000000000001,4.989884445115571,0,8.350000000000001
76,0,STOP,1.2900000000000087,54.8,41.975,3.250000000000001,5.464504757347621,0,8.024999999999999
77,3,GO,1.3199999999999967,54.8,42.32,3.450000000000001,4.936748159629251,0,7.68
78,0,STOP,1.2200000000000009,54.8,42.64,3.200000000000001,5.505246325268421,0,7.359999999999999
