iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,464.1840772628784,464.17592573165894,17.392909049987793,40.16576313972473,0.0,0.7747182697057724,-0.09010113775730133,0.8648194074630737,1.482498049736023,0.0,0.0,0.0,-524.4964599609375,500.0,8,0,0,8,0,0.099609375,0.23095703125,0.18115234375,0.234375,0.25390625
2,8192,1337.7774419784546,481.5388271808624,17.6412992477417,41.36250114440918,0.0,1.5445756018161774,0.14665046334266663,1.3979251384735107,1.508650302886963,0.0,0.0,0.0,38.231201171875,500.0,8,0,0,8,0,0.144775390625,0.239013671875,0.1630859375,0.269775390625,0.183349609375
3,12288,1816.5220572948456,478.74447798728943,17.773926734924316,42.432661056518555,0.0,3.6885348074138165,0.04161269590258598,3.6469221115112305,1.4737333059310913,0.0,0.0,0.0,1244.8336181640625,484.375,8,1,0,7,0,0.14599609375,0.232666015625,0.186767578125,0.282470703125,0.152099609375
4,16384,2308.4527447223663,491.9282693862915,17.4175763130188,40.75510001182556,0.0,20.810171388089657,-0.03935215622186661,20.849523544311523,1.472934365272522,0.0,0.0,0.0,1819.46533203125,411.55555555555554,9,4,0,5,0,0.14208984375,0.227294921875,0.181640625,0.309814453125,0.13916015625
5,20480,2799.2835726737976,490.8238823413849,18.0364830493927,41.46195435523987,0.0,10.308618575334549,0.06711581349372864,10.24150276184082,1.4806561470031738,0.0,0.0,0.0,2724.19287109375,492.125,8,1,0,7,0,0.17236328125,0.212646484375,0.195556640625,0.283203125,0.13623046875
6,24576,3286.3348603248596,487.04704666137695,17.95130968093872,42.2551383972168,0.0,23.189351983368397,-0.03515058010816574,23.224502563476562,1.4215435981750488,0.0,0.0,0.0,3379.651611328125,384.0,10,6,0,4,0,0.138671875,0.214111328125,0.28076171875,0.2626953125,0.103759765625
7,28672,3774.5145173072815,488.16911911964417,17.891451120376587,41.63668465614319,0.0,46.38544845674187,0.007270813919603825,46.378177642822266,1.416607141494751,0.0,0.0,0.0,3005.5205078125,366.0,11,7,0,4,0,0.14208984375,0.152587890625,0.297607421875,0.30078125,0.10693359375
8,32768,4274.876873731613,500.34928464889526,18.046841382980347,42.72893142700195,0.0,51.38771095871925,0.026035696268081665,51.36167526245117,1.4750175476074219,0.0,0.0,0.0,2712.865234375,454.0,8,2,0,6,0,0.11376953125,0.190673828125,0.3134765625,0.25830078125,0.123779296875
9,36864,4770.312402248383,495.4295380115509,18.119911193847656,41.79821515083313,0.0,31.271974116563797,-0.12547537684440613,31.397449493408203,1.388650894165039,0.0,0.0,0.0,2532.33544921875,304.61538461538464,13,10,0,3,0,0.148681640625,0.18115234375,0.325439453125,0.268310546875,0.076416015625
10,40960,5259.637984752655,489.3032500743866,17.709213972091675,41.18254232406616,0.0,29.364308286458254,-0.04490764066576958,29.409215927124023,1.4106483459472656,0.0,0.0,0.0,2431.63330078125,368.72727272727275,11,7,0,4,0,0.153564453125,0.161865234375,0.31884765625,0.264892578125,0.100830078125
11,45056,5744.019737005234,484.3623740673065,18.396206855773926,41.64695167541504,0.0,31.96700001321733,0.023148542270064354,31.943851470947266,1.3811492919921875,0.0,0.0,0.0,2766.2412109375,337.8333333333333,12,7,0,5,0,0.158203125,0.181884765625,0.32763671875,0.24072265625,0.091552734375
