step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,30.45471035551157,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,23.979875048132904,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,21.41153390728706,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,19.88078425194109,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,18.42943094251552,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,16.629605712071225,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,15.748761169901588,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,14.564750188448713,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,13.580595282284976,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,12.732754372453552,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,11.843616068230167,0,42.1
19,3,GO,1.5899999999999745,54.8,8.299999999999999,4.000000000000001,11.065380199334324,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,10.592025897688591,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,9.855368821580722,0,40.84
22,3,GO,1.830000000000024,54.8,9.62,4.600000000000001,9.360177524324568,0,40.38
23,3,GO,1.9099999999999695,54.8,10.1,4.800000000000002,8.802129123269077,0,39.9
24,3,GO,1.9900000000000002,54.8,10.6,5.000000000000002,8.333827336360951,0,39.4
25,3,GO,2.070000000000031,54.8,11.12,5.200000000000002,7.907082301755266,0,38.88
26,3,GO,2.1499999999999764,54.8,11.66,5.400000000000002,7.417384197826235,0,38.34
27,3,GO,2.230000000000007,54.8,12.22,5.600000000000002,6.9976113960445225,0,37.78
28,3,GO,2.310000000000038,54.8,12.800000000000002,5.8000000000000025,6.633643248694751,0,37.2
29,3,GO,2.3899999999999832,54.8,13.4,6.000000000000003,6.264595984645644,0,36.6
30,3,GO,2.470000000000014,54.8,14.020000000000001,6.200000000000003,5.918335711118627,0,35.98
31,3,GO,2.5499999999999594,54.8,14.660000000000002,6.400000000000003,5.64008486390494,0,35.339999999999996
32,3,GO,2.62999999999999,54.8,15.32,6.600000000000003,5.320484514446933,0,34.68
33,3,GO,2.710000000000021,54.8,16.000000000000004,6.800000000000003,5.1247936072336895,0,34.0
34,3,GO,2.790000000000009,54.8,16.700000000000003,7.0000000000000036,4.7814612746199066,0,33.3
35,3,GO,2.869999999999997,54.8,17.42,7.200000000000004,4.5589352276039,0,32.58
36,0,STOP,2.720000000000023,54.8,18.115000000000002,6.950000000000004,4.6818182995090964,0,31.884999999999998
37,0,STOP,2.6699999999999626,54.8,18.785000000000004,6.700000000000004,4.7816332613150525,0,31.214999999999996
38,0,STOP,2.5700000000000314,54.8,19.430000000000003,6.450000000000004,4.903116183023791,0,30.569999999999993
39,0,STOP,2.470000000000014,54.8,20.050000000000004,6.200000000000004,5.086473181969613,0,29.949999999999996
40,0,STOP,2.369999999999997,54.8,20.645000000000003,5.950000000000004,5.180874640320184,0,29.354999999999997
41,3,GO,2.3999999999999853,54.8,21.260000000000005,6.150000000000004,4.909140655787079,0,28.739999999999995
42,3,GO,2.530000000000016,54.8,21.895000000000007,6.350000000000004,4.661888301735821,0,28.10499999999999
43,0,STOP,2.379999999999999,54.8,22.505000000000006,6.100000000000004,4.7722072203870844,0,27.49499999999999
44,0,STOP,2.3299999999999814,54.8,23.090000000000007,5.850000000000004,4.86286581019583,0,26.909999999999997
45,3,GO,2.3600000000000128,54.8,23.695000000000007,6.050000000000004,4.623802955704167,0,26.304999999999993
46,3,GO,2.49,54.8,24.320000000000007,6.250000000000004,4.2900328625010005,0,25.679999999999993
47,3,GO,2.5699999999999887,54.8,24.965000000000007,6.450000000000005,4.1176064115251565,0,25.034999999999997
48,0,STOP,2.420000000000014,54.8,25.585000000000008,6.200000000000005,4.171706249707239,0,24.414999999999992
49,0,STOP,2.369999999999997,54.8,26.180000000000007,5.950000000000005,4.333718625800181,0,23.819999999999993
50,3,GO,2.400000000000028,54.8,26.79500000000001,6.150000000000005,4.014584014580371,0,23.20499999999999
51,3,GO,2.529999999999973,54.8,27.430000000000007,6.350000000000005,3.7420196930865033,0,22.569999999999993
52,3,GO,2.610000000000025,54.8,28.085000000000008,6.550000000000005,3.5197696947104387,0,21.91499999999999
53,0,STOP,2.459999999999987,54.8,28.71500000000001,6.300000000000005,3.60509544725858,0,21.28499999999999
54,0,STOP,2.4100000000000126,54.8,29.320000000000007,6.050000000000005,3.741989002851723,0,20.67999999999999
55,3,GO,2.440000000000001,54.8,29.94500000000001,6.250000000000005,3.4800990083611474,0,20.05499999999999
56,0,STOP,2.340000000000005,54.8,30.54500000000001,6.000000000000005,3.6399586359409497,0,19.454999999999988
57,0,STOP,2.2899999999999876,54.8,31.120000000000008,5.750000000000005,3.73327961436509,0,18.87999999999999
58,3,GO,2.319999999999997,54.8,31.71500000000001,5.9500000000000055,3.5204420712101974,0,18.28499999999999
59,0,STOP,2.2200000000000015,54.8,32.28500000000001,5.7000000000000055,3.5875683184133598,0,17.71499999999999
60,0,STOP,2.1700000000000057,54.8,32.83000000000001,5.4500000000000055,3.8050960378344114,0,17.169999999999987
61,3,GO,2.199999999999994,54.8,33.39500000000001,5.650000000000006,3.5266073998989267,0,16.60499999999999
62,3,GO,2.330000000000003,54.8,33.98000000000001,5.850000000000006,3.2102947111320628,0,16.01999999999999
63,0,STOP,2.1800000000000077,54.8,34.54000000000001,5.600000000000006,3.349896546464182,0,15.459999999999987
64,0,STOP,2.1300000000000114,54.8,35.07500000000002,5.350000000000006,3.52115600541871,0,14.924999999999983
65,3,GO,2.16,54.8,35.63000000000002,5.550000000000006,3.2142558189836716,0,14.369999999999983
66,0,STOP,2.060000000000004,54.8,36.16000000000002,5.300000000000006,3.3790053513793734,0,13.839999999999982
67,0,STOP,2.0100000000000082,54.8,36.66500000000002,5.050000000000006,3.538433534355496,0,13.33499999999998
68,0,STOP,1.9100000000000126,54.8,37.145000000000024,4.800000000000006,3.8133107202402745,0,12.854999999999976
69,3,GO,1.9400000000000006,54.8,37.645000000000024,5.000000000000006,3.4586733223030515,0,12.354999999999976
70,0,STOP,1.840000000000005,54.8,38.120000000000026,4.750000000000006,3.6583425207834535,0,11.879999999999974
71,0,STOP,1.7900000000000091,54.8,38.57000000000003,4.500000000000006,3.9084089543049054,0,11.429999999999971
72,0,STOP,1.6899999999999922,54.8,38.995000000000026,4.250000000000006,4.22204409190159,0,11.004999999999974
73,3,GO,1.7200000000000015,54.8,39.440000000000026,4.450000000000006,3.8220147551500965,0,10.559999999999974
74,0,STOP,1.6200000000000057,54.8,39.86000000000003,4.200000000000006,4.187491151961864,0,10.139999999999972
75,0,STOP,1.57000000000001,54.8,40.25500000000003,3.9500000000000064,4.550286401243493,0,9.744999999999969
