iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,1406.5228078365326,1401.126024723053,842.7307095527649,194.3980257511139,194.36801600456238,4.3739329650998116,0.06488582491874695,1.5885359048843384,1.5003174543380737,0.0,2.6363751888275146,0.08413604646921158,-244.7975616455078,500.0,8,0,0,8,0,0.215576171875,0.162841796875,0.172119140625,0.247314453125,0.2021484375
2,8192,2982.5655722618103,1328.060970067978,759.3791201114655,220.9771909713745,220.94782948493958,35.979938954114914,-0.0969511866569519,33.65277099609375,1.4347150325775146,0.0,2.373178482055664,0.05094066262245178,357.31195068359375,469.125,8,3,0,5,0,0.21826171875,0.154296875,0.166259765625,0.3310546875,0.130126953125
3,12288,4287.0027551651,1304.4302716255188,747.069598197937,205.58241438865662,205.55501508712769,15.682958479970694,-0.011126946657896042,13.105382919311523,1.4348798990249634,0.0,2.5488545894622803,0.03984791785478592,928.5877685546875,434.8888888888889,9,3,0,6,0,0.194580078125,0.14306640625,0.163818359375,0.33642578125,0.162109375
4,16384,5622.924294471741,1335.907107591629,771.0664522647858,213.72723388671875,213.69665837287903,69.29112504795194,-0.04586826637387276,67.17887115478516,1.4431416988372803,0.0,2.119601249694824,0.03852090984582901,1554.55078125,355.3636363636364,11,9,0,2,0,0.11279296875,0.1435546875,0.1904296875,0.413330078125,0.139892578125
5,20480,6969.60370016098,1346.6541023254395,770.3140664100647,224.31820106506348,224.28325295448303,80.27525668591261,-0.031010620296001434,78.4091796875,1.4441739320755005,0.0,1.8540295362472534,0.04305808246135712,1606.9058837890625,358.3636363636364,11,8,0,3,0,0.11669921875,0.15966796875,0.224609375,0.361572265625,0.137451171875
6,24576,8367.441838264465,1397.8240094184875,822.0305860042572,220.85513424873352,220.82682466506958,65.22832104563713,-0.09450128674507141,63.79362487792969,1.4218666553497314,0.0,1.4706733226776123,0.058524131774902344,1746.2918701171875,338.0,12,12,0,0,0,0.109619140625,0.149169921875,0.217529296875,0.376708984375,0.14697265625
7,28672,9703.545133113861,1336.0683426856995,767.2699463367462,214.81321501731873,214.7800998687744,63.22593429684639,0.027380071580410004,61.447296142578125,1.4628444910049438,0.0,1.6995034217834473,0.0517546609044075,2211.538330078125,322.8333333333333,12,10,0,2,0,0.093994140625,0.161376953125,0.22119140625,0.38623046875,0.13720703125
8,32768,11063.800944805145,1360.231006860733,772.447366476059,231.77965211868286,231.75145030021667,64.47284430637956,-0.08580750972032547,63.291656494140625,1.4420160055160522,0.0,1.2144310474395752,0.05256427451968193,1460.3095703125,376.9,10,7,0,3,0,0.11962890625,0.16455078125,0.181884765625,0.370361328125,0.16357421875
9,36864,12456.328044176102,1392.5144588947296,819.2089655399323,222.16314363479614,222.12886571884155,42.899616334587336,0.08101121336221695,40.87594985961914,1.4520907402038574,0.0,1.8880890607833862,0.05456620082259178,1510.614990234375,429.6666666666667,9,4,0,5,0,0.156982421875,0.131103515625,0.159912109375,0.340576171875,0.21142578125
10,40960,13820.741810798645,1364.4004266262054,789.6086659431458,224.30159163475037,224.26982927322388,92.44217547774315,0.09898421168327332,90.3797836303711,1.4676809310913086,0.0,1.9248191118240356,0.038588523864746094,-180.40380859375,465.75,8,2,0,6,0,0.1337890625,0.11279296875,0.16064453125,0.36279296875,0.22998046875
11,45056,15215.625941753387,1394.8795285224915,810.0602662563324,226.56178498268127,226.5379912853241,62.35310643538833,-0.04864498972892761,60.416481018066406,1.4209617376327515,0.0,1.9271050691604614,0.05816533789038658,254.68484497070312,401.8,10,7,0,3,0,0.1611328125,0.083740234375,0.180419921875,0.343994140625,0.230712890625
12,49152,17777.706557273865,1406.180980205536,838.3101646900177,216.50831747055054,216.47420454025269,26.788377122953534,-0.011474424973130226,24.92804527282715,1.434125542640686,0.0,1.822749137878418,0.049057137221097946,2331.462646484375,440.55555555555554,9,5,0,4,0,0.177490234375,0.079833984375,0.15771484375,0.3544921875,0.23046875
