step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,1,CREEP,-6.822667431016782e-15,54.8,4.1025,0.025,10.0,0,45.8975
1,3,GO,0.03000000000002387,54.8,4.125,0.225,10.0,0,45.875
2,1,CREEP,0.04000000000001705,54.8,4.15,0.25,10.0,0,45.85
3,3,GO,0.11999999999996248,54.8,4.195,0.45,10.0,0,45.805
4,3,GO,0.24999999999999317,54.8,4.260000000000001,0.65,10.0,0,45.74
5,3,GO,0.3300000000000239,54.8,4.345000000000001,0.8500000000000001,10.0,0,45.655
6,4,ABORT,-0.37999999999999484,54.8,4.390000000000001,0.45000000000000007,10.0,0,45.61
7,3,GO,0.19999999999999318,54.8,4.455000000000001,0.6500000000000001,10.0,0,45.545
8,4,ABORT,-0.42999999999996075,54.8,4.487500000000001,0.32500000000000007,176.01610734459226,0,45.5125
9,3,GO,0.149999999999942,54.8,4.540000000000001,0.5250000000000001,47.23152735164253,0,45.46
10,3,GO,0.280000000000058,54.8,4.612500000000001,0.7250000000000001,39.575285287469455,0,45.3875
11,3,GO,0.3599999999999608,54.8,4.705000000000001,0.925,37.616845825532785,0,45.295
12,3,GO,0.4399999999999915,54.8,4.817500000000001,1.125,34.75831908805377,0,45.1825
13,3,GO,0.5200000000000222,54.8,4.950000000000001,1.325,29.024326732911863,0,45.05
14,3,GO,0.5999999999999676,54.8,5.102500000000001,1.525,28.044464900424966,0,44.8975
15,2,YIELD,0.540000000000017,54.8,5.252500000000001,1.5,27.776825704572666,0,44.7475
16,3,GO,0.6200000000000051,54.8,5.422500000000001,1.7,25.213400157612053,0,44.5775
17,3,GO,0.7500000000000357,54.8,5.612500000000002,1.9,23.175162969481693,0,44.387499999999996
18,0,STOP,0.5999999999999761,54.8,5.777500000000002,1.65,25.198877258928942,0,44.2225
19,3,GO,0.6800000000000068,54.8,5.962500000000001,1.8499999999999999,22.67353921719735,0,44.0375
20,3,GO,0.8099999999999948,54.8,6.1675,2.05,21.864658353499284,0,43.832499999999996
21,3,GO,0.8899999999999829,54.8,6.392500000000002,2.25,19.43526112302078,0,43.6075
22,3,GO,0.9700000000000136,54.8,6.637500000000001,2.45,18.241898661083873,0,43.3625
23,2,YIELD,0.9099999999999778,54.8,6.880000000000001,2.4250000000000003,18.162825845367582,0,43.12
24,3,GO,0.9900000000000084,54.8,7.142500000000001,2.6250000000000004,16.870760633197293,0,42.8575
25,3,GO,1.1200000000000392,54.8,7.425000000000001,2.8250000000000006,15.750115158041428,0,42.575
26,3,GO,1.199999999999942,54.8,7.727500000000001,3.025000000000001,14.386514458681102,0,42.2725
27,3,GO,1.280000000000058,54.8,8.05,3.225000000000001,13.327918155555773,0,41.95
28,3,GO,1.3599999999999608,54.8,8.3925,3.425000000000001,12.481139563176644,0,41.6075
29,2,YIELD,1.3000000000000103,54.8,8.7325,3.4000000000000012,12.411561031611898,0,41.2675
30,3,GO,1.3799999999999983,54.8,9.0925,3.6000000000000014,11.564396928201681,0,40.9075
31,3,GO,1.5099999999999865,54.8,9.4725,3.8000000000000016,10.951216671225918,0,40.5275
32,1,CREEP,1.4400000000000002,54.8,9.8475,3.7500000000000018,10.929911096004263,0,40.1525
33,3,GO,1.5200000000000309,54.8,10.2425,3.950000000000002,10.525491150683457,0,39.7575
34,3,GO,1.6499999999999764,54.8,10.6575,4.150000000000002,9.671500339357658,0,39.3425
35,3,GO,1.730000000000007,54.8,11.092500000000001,4.350000000000002,9.193350185795204,0,38.9075
36,3,GO,1.8099999999999952,54.8,11.547500000000001,4.5500000000000025,8.716260542383925,0,38.4525
37,2,YIELD,1.750000000000002,54.8,12.000000000000002,4.525000000000002,8.636554460622438,0,38.0
38,4,ABORT,1.0899999999999832,54.8,12.4125,4.125000000000002,9.430319091930244,0,37.5875
39,2,YIELD,1.5799999999999899,54.8,12.822500000000002,4.100000000000001,9.490654447374933,0,37.177499999999995
40,3,GO,1.6600000000000206,54.8,13.2525,4.300000000000002,8.74937756594217,0,36.7475
41,1,CREEP,1.6400000000000343,54.8,13.677500000000004,4.250000000000002,8.836131581187187,0,36.3225
42,3,GO,1.7199999999999798,54.8,14.122500000000004,4.450000000000002,8.396074235258066,0,35.8775
43,3,GO,1.8500000000000105,54.8,14.5875,4.650000000000002,7.829022053979369,0,35.412499999999994
44,3,GO,1.929999999999956,54.8,15.072500000000002,4.850000000000002,7.241798139010106,0,34.927499999999995
45,3,GO,2.010000000000029,54.8,15.577500000000002,5.0500000000000025,6.927389258128651,0,34.4225
46,3,GO,2.0899999999999745,54.8,16.102500000000003,5.250000000000003,6.4424271454044,0,33.897499999999994
47,1,CREEP,2.020000000000031,54.8,16.622500000000002,5.200000000000003,6.585903804487745,0,33.3775
48,1,CREEP,2.050000000000002,54.8,17.137500000000003,5.150000000000003,6.440461907960489,0,32.8625
49,3,GO,2.080000000000033,54.8,17.672500000000003,5.350000000000003,6.107997889073846,0,32.3275
50,1,CREEP,2.060000000000004,54.8,18.202500000000004,5.300000000000003,6.007880360348359,0,31.7975
51,3,GO,2.1399999999999495,54.8,18.752500000000005,5.5000000000000036,5.641108998601463,0,31.247499999999995
52,3,GO,2.2700000000000227,54.8,19.322500000000005,5.700000000000004,5.356596653601914,0,30.677499999999995
53,0,STOP,2.1200000000000054,54.8,19.867500000000007,5.450000000000004,5.524051132388206,0,30.132499999999993
54,3,GO,2.199999999999994,54.8,20.432500000000008,5.650000000000004,5.230642813321546,0,29.567499999999995
55,2,YIELD,2.1900000000000004,54.8,20.995000000000008,5.6250000000000036,5.15511561271328,0,29.004999999999995
56,0,STOP,2.090000000000026,54.8,21.53250000000001,5.3750000000000036,5.416102699449172,0,28.467499999999987
57,1,CREEP,2.069999999999997,54.8,22.06500000000001,5.325000000000004,5.311450386104717,0,27.934999999999988
58,3,GO,2.1499999999999853,54.8,22.61750000000001,5.525000000000004,5.072929785678426,0,27.382499999999993
59,3,GO,2.280000000000016,54.8,23.190000000000012,5.725000000000004,4.660938411997893,0,26.809999999999988
60,2,YIELD,2.220000000000023,54.8,23.760000000000012,5.700000000000005,4.674333800051058,0,26.239999999999988
61,3,GO,2.300000000000011,54.8,24.350000000000012,5.900000000000005,4.390229021593899,0,25.64999999999999
62,3,GO,2.429999999999956,54.8,24.96000000000001,6.100000000000005,4.047538613106502,0,25.039999999999992
63,3,GO,2.509999999999987,54.8,25.59000000000001,6.300000000000005,3.793923336897595,0,24.40999999999999
64,1,CREEP,2.440000000000001,54.8,26.21500000000001,6.250000000000005,3.7497593349936347,0,23.78499999999999
65,3,GO,2.5200000000000315,54.8,26.860000000000007,6.4500000000000055,3.4702962585400075,0,23.139999999999986
66,2,YIELD,2.509999999999996,54.8,27.502500000000012,6.425000000000006,3.3954890057702616,0,22.497499999999988
67,1,CREEP,2.490000000000009,54.8,28.14000000000001,6.375000000000006,3.3018965230449515,0,21.85999999999999
68,0,STOP,2.3899999999999926,54.8,28.752500000000012,6.125000000000006,3.455577521006136,0,21.247499999999988
69,1,CREEP,2.370000000000006,54.8,29.360000000000014,6.075000000000006,3.34703889415191,0,20.639999999999986
70,2,YIELD,2.3600000000000128,54.8,29.96500000000001,6.050000000000006,3.2485092732087426,0,20.034999999999986
71,0,STOP,2.259999999999996,54.8,30.545000000000016,5.800000000000006,3.346658979136045,0,19.454999999999984
