step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,28.583395984916354,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,22.809407021998098,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,20.571515548945385,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,19.303319895749166,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,18.05739789089519,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,16.461737029005434,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,15.695069507136711,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,14.643746428161975,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,13.762958806901477,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,12.994677462524988,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,12.201827049656602,0,42.1
19,3,GO,1.5899999999999745,54.8,8.299999999999999,4.000000000000001,11.503250146566804,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,11.026372027183381,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,10.38190055350689,0,40.84
22,3,GO,1.830000000000024,54.8,9.62,4.600000000000001,9.903313666777894,0,40.38
23,3,GO,1.9099999999999695,54.8,10.1,4.800000000000002,9.347471124710358,0,39.9
24,3,GO,1.9900000000000002,54.8,10.6,5.000000000000002,8.943020022335341,0,39.4
25,3,GO,2.070000000000031,54.8,11.12,5.200000000000002,8.50249027808908,0,38.88
26,3,GO,2.1499999999999764,54.8,11.66,5.400000000000002,7.3370356783267345,0,38.34
27,3,GO,2.230000000000007,54.8,12.22,5.600000000000002,5.403972211732325,0,37.78
28,3,GO,2.310000000000038,54.8,12.800000000000002,5.8000000000000025,5.007100864010579,0,37.2
29,3,GO,2.3899999999999832,54.8,13.4,6.000000000000003,4.763700884850592,0,36.6
30,3,GO,2.470000000000014,54.8,14.020000000000001,6.200000000000003,4.631142307717154,0,35.98
31,3,GO,2.5499999999999594,54.8,14.660000000000002,6.400000000000003,4.0686085865894634,0,35.339999999999996
32,3,GO,2.62999999999999,54.8,15.32,6.600000000000003,3.8733734864104346,0,34.68
33,3,GO,2.710000000000021,54.8,16.000000000000004,6.800000000000003,3.8052215307988786,0,34.0
34,3,GO,2.790000000000009,54.8,16.700000000000003,7.0000000000000036,3.5975641583160973,0,33.3
35,3,GO,2.869999999999997,54.8,17.42,7.200000000000004,3.651105305949885,0,32.58
36,3,GO,2.949999999999985,54.8,18.160000000000004,7.400000000000004,3.326015084454513,0,31.839999999999996
37,3,GO,3.0300000000000584,54.8,18.920000000000005,7.600000000000004,3.252688850452302,0,31.08
38,3,GO,3.110000000000004,54.8,19.700000000000006,7.800000000000004,3.1513319561502016,0,30.299999999999997
39,3,GO,0.18999999999994932,54.8,20.500000000000007,8.000000000000004,2.9787456602665587,0,29.499999999999993
40,3,GO,3.2700000000000227,54.8,21.320000000000007,8.200000000000003,3.084150678192129,0,28.679999999999993
41,3,GO,0.3500000000000103,54.8,22.160000000000007,8.400000000000002,2.991251793403051,0,27.83999999999999
42,3,GO,0.4299999999999984,54.8,23.020000000000007,8.600000000000001,2.7696864374423527,0,26.97999999999999
43,4,ABORT,-0.2800000000000204,54.8,23.840000000000007,8.200000000000001,2.831626438008656,0,26.159999999999997
44,0,STOP,3.120000000000048,54.8,24.635000000000005,7.950000000000001,3.1882171002231323,0,25.364999999999995
45,1,CREEP,3.0999999999999766,54.8,25.42500000000001,7.900000000000001,3.1217011906528938,0,24.57499999999999
46,3,GO,0.1800000000000071,54.8,26.235000000000003,8.100000000000001,2.9359082378700863,0,23.764999999999993
47,1,CREEP,0.15999999999997777,54.8,27.040000000000006,8.05,2.8695648609236195,0,22.959999999999994
48,3,GO,0.24000000000000848,54.8,27.865000000000006,8.25,2.6999996727273126,0,22.13499999999999
49,3,GO,0.36999999999999655,54.8,28.710000000000008,8.45,2.5360943744267006,0,21.289999999999996
50,3,GO,0.44999999999998463,54.8,29.575000000000003,8.649999999999999,2.377456372548397,0,20.424999999999997
51,3,GO,0.529999999999994,54.8,30.46,8.849999999999998,2.223728562290559,0,19.54
52,3,GO,0.610000000000003,54.8,31.365000000000002,9.049999999999997,2.074585406123161,0,18.634999999999998
53,3,GO,0.6899999999999911,54.8,32.29,9.249999999999996,1.9297295211103236,0,17.71
54,3,GO,0.7700000000000005,54.8,33.235,9.449999999999996,1.788888699588499,0,16.765
55,3,GO,0.8499999999999885,54.8,34.199999999999996,9.649999999999995,1.6518133003302298,0,15.800000000000004
56,3,GO,0.9299999999999979,54.8,35.184999999999995,9.849999999999994,1.5182739575356408,0,14.815000000000005
57,3,GO,1.010000000000007,54.8,36.19,10.049999999999994,1.3880595633771595,0,13.810000000000002
58,3,GO,1.089999999999995,54.8,37.214999999999996,10.249999999999993,1.2609754867341005,0,12.785000000000004
59,3,GO,1.1700000000000044,54.8,38.26,10.449999999999992,1.1368419964744516,0,11.740000000000002
60,3,GO,1.2499999999999925,54.8,39.324999999999996,10.649999999999991,1.015492862395038,0,10.675000000000004
61,3,GO,1.3300000000000016,54.8,40.41,10.84999999999999,0.8967741108963968,0,9.590000000000003
62,3,GO,1.4099999999999897,54.8,41.51499999999999,11.04999999999999,0.7805429157879732,0,8.485000000000007
63,3,GO,1.4899999999999989,54.8,42.63999999999999,11.24999999999999,0.6666666074074145,0,7.3600000000000065
64,3,GO,1.569999999999987,54.8,43.78499999999999,11.449999999999989,0.555021785587619,0,6.2150000000000105
65,3,GO,1.6499999999999964,54.8,44.94999999999999,11.649999999999988,0.44549352399197417,0,5.050000000000011
66,3,GO,1.7300000000000055,54.8,46.13499999999999,11.849999999999987,0.3379746550232376,0,3.865000000000009
67,3,GO,1.8099999999999936,54.8,47.33999999999999,12.049999999999986,0.23236512594480463,0,2.660000000000011
68,3,GO,1.890000000000003,54.8,48.56499999999999,12.249999999999986,0.12857141807580438,0,1.4350000000000094
69,3,GO,10.850000000000037,54.90003099372569,49.80284935065158,12.449999999999985,0.02399673732876068,0,0.0
70,3,GO,-21.745,55.07825522902569,51.05510910920687,12.649999999999984,0.0,1,0.0
