step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,L_eik,L_bc_raw,L_bc_normalized,L_ground_raw,L_ground_normalized,L_distill,mean_rho,mean_T_succ,mean_T_coll,n_grounding_points,sigma_eik,sigma_bc,sigma_ground,alm_lambda,alm_mu,L_eik_alm_contribution,n_success_buffer,n_collision_buffer,n_intermediate_buffer,train_time_per_iter
4096,45.52428176540792,10,0.018659044057130814,0.6530245542526245,1,0.1,33.7931373021022,0.0,1.5028307437896729,8.984393119812012,0.0,0.0,0.0,0.0,0.06613363325595856,2.582700252532959,0.0,0.0,0,0.0,0.9848243594169617,0.9848243594169617,0.0,1.0,40.35966110229492,0,0,0,634.530026435852
45056,46.61856709415816,10,-0.09148678183555603,73.08930206298828,9,0.9,5.077313722919074,0.0,1.4506638050079346,4.821774005889893,1003.8338623046875,400.4598388671875,1450.7322998046875,605.9453125,0.049803830683231354,1.6873359680175781,14.657058715820312,73.31146240234375,256,0.0,1.5832805633544922,1.5473427772521973,727.781463067513,625.0,10774.66796875,16,1000,1000,616.9305763244629
86016,69.18026599205696,10,-0.05533037334680557,20.393657684326172,8,0.8,8.957481217956163,0.0,1.4327610731124878,5.0004472732543945,3572.00341796875,1401.2576904296875,1835.861328125,753.46826171875,0.048573385924100876,1.6382598876953125,32.72642517089844,50.40888595581055,256,0.0,1.5966054201126099,1.5609458684921265,233968.1890359521,10000.0,1294968.0,16,1000,1000,583.0817551612854
126976,71.49121512103213,10,0.131323903799057,41.98216247558594,6,0.6,14.457085058093806,0.0,1.4754588603973389,6.086684703826904,4906.400390625,1896.120849609375,1925.3170166015625,784.1607055664062,0.03402915969491005,1.8897262811660767,38.65169906616211,41.73912811279297,256,0.0,1.608609914779663,1.5669304132461548,516544.87077467144,10000.0,3329284.5,72,1000,1000,605.867109298706
167936,65.79599727993107,10,0.06641995906829834,44.56888198852539,8,0.8,9.985589097827045,0.0,1.5109694004058838,8.196020126342773,4946.5810546875,1845.591064453125,1871.9085693359375,748.974853515625,0.03299858421087265,2.3062362670898438,44.798255920410156,45.9351806640625,256,0.0,1.6371548175811768,1.5809237957000732,828164.2697876692,10000.0,7123524.5,112,1000,1000,601.7995986938477
208896,52.833871090710964,10,-0.008592836558818817,108.45703125,7,0.7,8.830576514234762,0.0,1.4426437616348267,6.935791969299316,5178.36865234375,1788.3487548828125,2469.79248046875,947.6104736328125,0.04903170466423035,2.030686616897583,32.64960479736328,35.99403762817383,256,0.0,1.7016838788986206,1.6144347190856934,1141402.6633169875,10000.0,8157057.0,240,1000,1000,589.4801216125488
249856,52.29663728771783,10,0.06398993730545044,50.253501892089844,8,0.8,10.508855634365037,0.0,1.4351670742034912,2.795572519302368,5332.203125,1494.060791015625,2692.012451171875,902.9723510742188,0.03925177454948425,1.0344135761260986,27.23725128173828,32.37189483642578,256,0.0,1.889346718788147,1.7267556190490723,1414916.634888798,10000.0,3994578.25,312,1000,1000,655.0906095504761
290816,71.42941652309617,10,-0.0792216807603836,221.43728637695312,7,0.7,41.96573851355792,0.0,1.423138976097107,6.278894424438477,5443.98828125,941.2129516601562,2538.4658203125,598.1788940429688,0.051506754010915756,1.8410124778747559,35.8670539855957,35.547733306884766,256,0.0,2.4052674770355225,2.0601866245269775,1672819.381054435,10000.0,10700579.0,432,1000,1000,580.2126231193542
331776,71.05765749289841,10,0.13077057898044586,132.09579467773438,9,0.9,6.892625074129901,0.0,1.4485173225402832,4.976435661315918,5550.3173828125,478.9433898925781,2603.248046875,346.9609680175781,0.02775152586400509,1.5662695169448853,34.616416931152344,34.05436706542969,256,0.0,3.4048986434936523,2.739626169204712,1978950.7468984835,10000.0,9971946.0,592,1000,1000,641.1001195907593
372736,75.4413992392814,10,0.06367790699005127,16.349451065063477,8,0.8,6.788624018006856,0.0,1.449251413345337,6.0106353759765625,5376.501953125,171.3094940185547,2225.322998046875,129.4456787109375,0.057941824197769165,1.7716538906097412,45.866790771484375,42.84672546386719,256,0.0,5.603160858154297,4.1468353271484375,2251717.395005692,10000.0,13714892.0,632,1000,1000,639.9262847900391
