iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,1567.3200414180756,1563.3217482566833,1173.7271926403046,101.44804739952087,101.41793537139893,1.8711868673563004,-0.06621868908405304,1.5600959062576294,1.5228753089904785,0.0,0.0,0.377309650182724,-878.8177490234375,500.0,8,0,0,8,0,0.147705078125,0.173828125,0.2626953125,0.1650390625,0.250732421875
2,8192,4052.033244371414,1565.5105378627777,1191.8527879714966,86.17493152618408,86.14332485198975,71.84307032823563,0.0899970531463623,54.381622314453125,1.4995146989822388,0.0,0.6550012230873108,16.716449737548828,-2813.0966796875,500.0,8,0,0,8,0,0.1005859375,0.207275390625,0.286376953125,0.252685546875,0.153076171875
3,12288,5563.519368171692,1511.4859549999237,1132.2772958278656,96.98269605636597,96.95318055152893,13.534865461289883,-0.06805416196584702,10.376543045043945,1.4552559852600098,0.0,0.2101302593946457,3.0162463188171387,-2124.0849609375,500.0,8,0,0,8,0,0.14892578125,0.199462890625,0.31005859375,0.211669921875,0.1298828125
4,16384,7083.2841029167175,1519.7645945549011,1131.6925117969513,98.4873719215393,98.45799326896667,38.67577362060547,0.03508198261260986,30.321430206298828,1.4448437690734863,0.0,0.8407677412033081,7.478493690490723,-3153.966552734375,500.0,8,0,0,8,0,0.134521484375,0.223876953125,0.28759765625,0.25048828125,0.103515625
5,20480,8674.484879493713,1591.2006108760834,1209.0594260692596,96.31940031051636,96.29221796989441,74.50577350147069,0.014244066551327705,53.546714782714844,1.4403877258300781,0.0,0.35208889842033386,20.59272575378418,-2592.91943359375,500.0,8,0,0,8,0,0.140380859375,0.21923828125,0.293212890625,0.24755859375,0.099609375
6,24576,10249.883821725845,1575.3987874984741,1194.55344581604,99.73902463912964,99.70781135559082,46.98144744336605,0.058097586035728455,34.13278579711914,1.4744051694869995,0.0,0.7983698844909668,11.992194175720215,-3892.90283203125,500.0,8,0,0,8,0,0.132080078125,0.22802734375,0.282958984375,0.254150390625,0.102783203125
7,28672,11872.121432304382,1622.2374711036682,1207.198127746582,102.11883187294006,102.0896737575531,26.15056060999632,0.04738377779722214,17.572681427001953,1.4627759456634521,0.0,0.5567958354949951,7.973699569702148,-3179.0390625,500.0,8,0,0,8,0,0.14453125,0.239501953125,0.28466796875,0.21240234375,0.118896484375
8,32768,13697.32587647438,1825.2042751312256,1400.5123682022095,107.61434483528137,107.58582139015198,38.7586018294096,-0.07398034632205963,30.029869079589844,1.486377477645874,0.0,0.4667641520500183,8.335948944091797,-2526.208251953125,500.0,8,0,0,8,0,0.170166015625,0.23291015625,0.265625,0.21923828125,0.112060546875
9,36864,15483.880774259567,1786.5547168254852,1328.6361076831818,114.28558254241943,114.2551896572113,16.708556205034256,-0.022462639957666397,10.676665306091309,1.4474146366119385,0.0,0.02337152138352394,6.03098201751709,-442.2908630371094,500.0,8,0,0,8,0,0.15185546875,0.239013671875,0.3076171875,0.20166015625,0.099853515625
10,40960,17262.264614343643,1778.3836860656738,1305.4302053451538,119.42998123168945,119.40012621879578,41.245131120085716,0.03969524800777435,29.346059799194336,1.467923879623413,0.0,0.30537712574005127,11.553998947143555,-819.4570922851562,500.0,8,0,0,8,0,0.13720703125,0.21533203125,0.309326171875,0.243896484375,0.09423828125
