step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,95.88,64.8,0.2,10.0,0,35.88
1,3,GO,0.14999999999997612,95.84,64.8,0.4,10.0,0,35.84
2,3,GO,0.23000000000000684,95.78,64.8,0.6000000000000001,10.0,0,35.78
3,3,GO,0.30999999999995226,95.7,64.8,0.8,10.0,0,35.7
4,3,GO,0.3900000000000682,95.6,64.8,1.0,10.0,0,35.6
5,3,GO,0.46999999999992836,95.48,64.8,1.2,10.0,0,35.480000000000004
6,3,GO,0.5500000000000443,95.34,64.8,1.4,10.0,0,35.34
7,3,GO,0.6299999999999898,95.18,64.8,1.5999999999999999,5.404579500191203,0,35.18
8,3,GO,0.7100000000000204,95.0,64.8,1.7999999999999998,18.23284252864972,0,35.0
9,2,YIELD,0.6500000000000272,94.8225,64.8,1.775,42.58403171153944,0,34.822500000000005
10,2,YIELD,0.6899999999999489,94.64750000000001,64.8,1.75,20.823064510268605,0,34.6475
11,2,YIELD,0.6800000000000409,94.475,64.8,1.725,28.372204865513574,0,34.475
12,2,YIELD,0.6699999999999625,94.305,64.8,1.7000000000000002,3.088427358077847,0,34.305
13,3,GO,0.6999999999999932,94.115,64.8,1.9000000000000001,4.620411065801828,0,34.115
14,3,GO,0.8300000000000238,93.905,64.8,2.1,3.320665667185189,0,33.905
15,3,GO,-2.0900000000000305,93.675,64.8,2.3000000000000003,2.6304120422152155,0,33.675
16,3,GO,-2.01,93.425,64.8,2.5000000000000004,2.156022637329333,0,33.425
17,3,GO,-1.929999999999969,93.155,64.8,2.7000000000000006,1.7926131754600123,0,33.155
18,3,GO,-1.8500000000000236,92.865,64.8,2.900000000000001,1.2090019740101363,0,32.865
19,3,GO,-1.769999999999993,92.55499999999999,64.8,3.100000000000001,0.8328831663526644,0,32.555
20,3,GO,-1.6899999999999622,92.225,64.8,3.300000000000001,0.5764081818591913,0,32.225
21,3,GO,-1.6100000000000168,91.875,64.8,3.5000000000000013,0.3826229139268256,0,31.875
22,3,GO,-1.529999999999986,91.505,64.8,3.7000000000000015,0.1258634498362563,0,31.504999999999995
23,3,GO,-1.4500000000000406,91.115,64.8,3.9000000000000017,0.0,0,31.114999999999995
24,3,GO,-1.3700000000000099,90.705,64.8,4.100000000000001,0.0,0,30.705
25,3,GO,-1.2899999999999796,90.275,64.8,4.300000000000002,0.0,0,30.275
26,3,GO,-1.209999999999991,89.825,64.8,4.500000000000002,0.0,0,29.825000000000003
27,3,GO,-1.1299999999999608,89.355,64.8,4.700000000000002,0.0,0,29.354999999999997
28,3,GO,-1.0500000000000576,88.865,64.8,4.900000000000002,0.0,0,28.864999999999995
29,3,GO,-0.969999999999942,88.355,64.8,5.100000000000002,0.0,0,28.354999999999997
30,3,GO,-0.8900000000000388,87.825,64.8,5.3000000000000025,0.029970722266708792,0,27.825000000000003
31,3,GO,-0.8100000000000085,87.275,64.8,5.500000000000003,0.12873045262515356,0,27.275
32,3,GO,-0.73000000000002,86.705,64.8,5.700000000000003,0.22643182503052145,0,26.705
33,3,GO,-0.6499999999999897,86.115,64.8,5.900000000000003,0.31743877559298345,0,26.114999999999995
34,3,GO,-0.5699999999999585,85.505,64.8,6.100000000000003,0.4023842335866731,0,25.504999999999995
35,3,GO,-0.49000000000001354,84.875,64.8,6.300000000000003,0.49262528251987814,0,24.875
36,3,GO,-0.4099999999999824,84.225,64.8,6.5000000000000036,0.4583089938369786,0,24.224999999999994
37,3,GO,-0.3300000000000374,83.55499999999999,64.8,6.700000000000004,0.3331330746238436,0,23.554999999999993
38,3,GO,-0.2500000000000062,82.865,64.8,6.900000000000004,0.22213296049536094,0,22.864999999999995
39,3,GO,-0.16999999999997595,82.155,64.8,7.100000000000004,0.12197233895895479,0,22.154999999999994
40,3,GO,-0.08999999999998742,81.425,64.8,7.300000000000004,0.007398224631932136,0,21.424999999999994
41,3,GO,-0.009999999999999787,80.675,64.8,7.500000000000004,0.0,0,20.674999999999994
42,3,GO,0.06999999999998874,79.905,64.8,7.700000000000005,0.0,0,19.904999999999994
43,3,GO,0.14999999999997637,79.115,64.8,7.900000000000005,0.0,0,19.114999999999995
44,3,GO,0.23000000000000753,78.30499999999999,64.8,8.100000000000005,0.0,0,18.304999999999993
45,3,GO,0.3100000000000378,77.475,64.8,8.300000000000004,0.0,0,17.47499999999999
46,3,GO,0.38999999999998325,76.62499999999999,64.8,8.500000000000004,0.0,0,16.62499999999999
47,3,GO,0.47000000000001396,75.755,64.8,8.700000000000003,0.01028438149473545,0,15.754999999999988
48,3,GO,0.5500000000000447,74.86499999999998,64.8,8.900000000000002,0.11023881810447214,0,14.864999999999988
49,3,GO,0.6299999999999901,73.95499999999998,64.8,9.100000000000001,0.2068397307124186,0,13.954999999999988
50,3,GO,0.7099999999999778,73.02499999999999,64.8,9.3,0.29459978049196617,0,13.024999999999988
51,3,GO,0.7900000000000085,72.07499999999999,64.8,9.5,0.3966726244893611,0,12.074999999999989
52,3,GO,0.8699999999999966,71.10499999999999,64.8,9.7,0.4796155700022808,0,11.10499999999999
53,3,GO,0.9499999999999846,70.115,64.8,9.899999999999999,0.5643803543178517,0,10.114999999999991
54,3,GO,1.0300000000000153,69.10499999999999,64.8,10.099999999999998,0.6709440605414787,0,9.10499999999999
55,3,GO,1.1100000000000032,68.07499999999999,64.8,10.299999999999997,0.7252549519102893,0,8.074999999999989
56,3,GO,1.189999999999991,67.02499999999999,64.8,10.499999999999996,0.8436629473888438,0,7.0249999999999915
57,3,GO,-18.73000000000002,65.95499999999998,64.8,10.699999999999996,0.9002839070045286,1,5.954999999999991
