# scenario=2_dense, ego_maneuver=stem_right, seed=42, episode_idx=223, terminal_step=489, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.010000000000000002,10.0,0,none,0
1,54.8,4.142499999999999,0.0,0.225,0.24999999999999994,1,-0.037500000000000006,10.0,0,none,0
2,54.8,4.185,0.0,0.42500000000000004,2.0000000000000004,3,-0.017499999999999995,10.0,0,none,0
3,54.8,4.2299999999999995,0.0,0.45000000000000007,0.2500000000000002,1,-0.014999999999999993,10.0,0,none,0
4,54.8,4.2524999999999995,0.0,0.22500000000000003,-2.25,4,-0.5375,10.0,0,none,0
5,54.8,4.295,0.0,0.42500000000000004,2.0,3,-0.017499999999999995,10.0,0,none,0
6,54.8,4.3575,0.0,0.625,1.9999999999999996,3,0.0525,10.0,0,none,0
7,54.8,4.4225,0.0,0.65,0.2500000000000002,1,0.0049999999999999975,10.0,0,none,0
8,54.8,4.5075,0.0,0.8500000000000001,2.0000000000000004,3,0.02500000000000001,60.06904040651235,1,none,0
9,54.8,4.59,0.0,0.8250000000000001,-0.2500000000000002,2,0.022500000000000006,44.594347613180325,1,none,0
10,54.8,4.6475,0.0,0.5750000000000001,-2.5,0,-0.0024999999999999953,58.115665553549874,1,none,0
11,54.8,4.68,0.0,0.32500000000000007,-2.5,0,0.022500000000000006,62.258937279753475,1,none,0
12,54.8,4.71,0.0,0.30000000000000004,-0.2500000000000002,2,-0.03,67.39268942142995,1,none,0
13,54.8,4.76,0.0,0.5,1.9999999999999996,3,-0.010000000000000002,54.06174489575407,2,none,0
14,54.8,4.8075,0.0,0.475,-0.2500000000000002,2,-0.012500000000000004,58.76584523282257,2,none,0
15,54.8,4.83125,0.0,0.2375,-2.3749999999999996,0,-0.036250000000000004,64.16467206947036,2,none,0
16,54.8,4.843125,0.0,0.11875,-1.1874999999999998,0,0.0018749999999999982,71.24534788219445,2,none,0
17,54.8,4.875,0.0,0.31875,1.9999999999999998,3,-0.028125000000000004,69.68186482007461,2,none,0
18,54.8,4.904375,0.0,0.29374999999999996,-0.2500000000000002,2,-0.030625000000000006,69.02061927174054,3,none,0
19,54.8,4.93125,0.0,0.26874999999999993,-0.2500000000000002,2,0.016874999999999994,62.374166125516005,3,none,0
20,54.8,4.960625,0.0,0.29374999999999996,0.2500000000000002,1,-0.030625000000000006,53.54657083866678,3,none,0
21,54.8,4.987500000000001,0.0,0.26874999999999993,-0.2500000000000002,2,-0.03312500000000001,47.7712517081826,3,none,0
22,54.8,5.034375000000001,0.0,0.46874999999999994,2.0,3,-0.013125000000000005,42.331079822826624,3,none,0
23,54.8,5.07875,0.0,0.44375,-0.24999999999999967,2,-0.015625000000000007,38.514917056735655,3,none,0
24,54.8,5.100937500000001,0.0,0.221875,-2.2187499999999996,0,-0.037812500000000006,35.728412318284306,3,none,0
25,54.8,5.11203125,0.0,0.1109375,-1.1093749999999998,0,0.0010937499999999975,32.70003505587977,4,none,0
26,54.8,5.120625,0.0,0.0859375,-0.24999999999999994,2,-0.05140625,30.861999768560576,4,none,0
27,54.8,5.13171875,0.0,0.1109375,0.24999999999999994,1,-0.048906250000000005,28.508309061100423,4,none,0
28,54.8,5.1628125,0.0,0.3109375,1.9999999999999998,3,-0.028906250000000005,26.72315861635198,4,none,0
29,54.8,5.178359375,0.0,0.15546875,-1.5546874999999998,0,-0.044453125,25.5202726447472,4,none,0
30,54.8,5.21390625,0.0,0.35546875,2.0,3,-0.024453125000000006,23.85560055065439,4,none,0
31,54.8,5.251953125,0.0,0.38046875,0.2500000000000002,1,-0.021953124999999997,22.47475645912875,4,none,0
32,54.8,5.31,0.0,0.5804687500000001,2.0000000000000004,3,-0.001953124999999993,21.002928759968995,5,none,0
33,54.8,5.365546875,0.0,0.5554687500000001,-0.2500000000000002,2,-0.004453124999999995,19.9352641459161,5,none,0
34,54.8,5.423593749999999,0.0,0.5804687500000001,0.2500000000000002,1,-0.001953124999999993,18.926604899307325,5,none,0
35,54.8,5.484140624999999,0.0,0.6054687500000001,0.2500000000000002,1,0.05054687500000001,18.028008502700214,5,none,0
36,54.8,5.519687499999999,0.0,0.3554687500000001,-2.5,0,-0.024453124999999992,17.293875642361034,5,none,0
37,54.8,5.557734374999999,0.0,0.38046875000000013,0.2500000000000002,1,-0.02195312499999999,16.510682583849473,5,none,0
38,54.8,5.598281249999999,0.0,0.40546875000000016,0.2500000000000002,1,0.030546875000000015,15.858539798326994,5,none,0
39,54.8,5.641328124999999,0.0,0.4304687500000002,0.2500000000000002,1,0.03304687500000002,15.12257932155502,5,none,0
40,54.8,5.686875,0.0,0.4554687500000002,0.2500000000000002,1,0.03554687500000002,14.486730169873216,6,none,0
41,54.8,5.709648437499999,0.0,0.2277343750000001,-2.277343750000001,4,-0.5372265625,13.939709232267516,6,none,0
42,54.8,5.729921875,0.0,0.2027343750000001,-0.24999999999999994,2,-0.03972656249999999,13.457405308783942,6,none,0
43,54.8,5.74005859375,0.0,0.10136718750000005,-1.0136718750000004,4,-0.5498632812500001,12.922265905574344,6,none,0
44,54.8,5.752695312499999,0.0,0.12636718750000006,0.25000000000000006,1,-0.04736328125,12.502457767488078,6,none,0
45,54.8,5.785332031249999,0.0,0.32636718750000004,1.9999999999999998,3,-0.027363281249999996,12.002082402826643,6,none,0
46,54.8,5.837968749999999,0.0,0.5263671875,1.9999999999999996,3,0.042636718750000004,11.490727589264797,6,none,0
47,54.8,5.864287109374999,0.0,0.26318359375,-2.6318359375,4,-0.533681640625,11.19609273250636,6,none,0
48,54.8,5.893105468749999,0.0,0.28818359375,0.2500000000000002,1,-0.031181640625,10.760166993338906,6,none,0
49,54.8,5.924423828124999,0.0,0.31318359375000004,0.2500000000000002,1,0.021318359375000005,10.421683858834347,6,none,0
50,54.8,5.958242187499999,0.0,0.33818359375000007,0.2500000000000002,1,0.023818359375000007,10.12138074173384,6,none,0
51,54.8,6.012060546874999,0.0,0.5381835937500001,2.0000000000000004,3,-0.006181640624999991,9.785337241796533,6,none,0
52,54.8,6.040878906249999,0.0,0.28818359375000013,-2.5,0,-0.03118164062499999,9.447070847678392,6,none,0
53,54.8,6.089697265624999,0.0,0.48818359375000014,2.0,3,-0.011181640624999989,9.177506024822272,6,none,0
54,54.8,6.141015624999999,0.0,0.5131835937500001,0.24999999999999967,1,-0.008681640624999994,8.85789227866751,6,none,0
55,54.8,6.2123339843749985,0.0,0.7131835937500002,2.0000000000000004,3,0.01131835937500001,8.567504163091993,6,none,0
56,54.8,6.286152343749999,0.0,0.7381835937500002,0.2500000000000002,1,0.01381835937500002,8.272974474050523,6,none,0
57,54.8,6.362470703124998,0.0,0.7631835937500002,0.2500000000000002,1,0.06631835937500002,8.028122314143664,6,none,0
58,54.8,6.458789062499998,0.0,0.9631835937500002,1.9999999999999996,3,0.03631835937500001,7.774531903686895,6,none,0
59,54.8,6.575107421874999,0.0,1.1631835937500001,1.9999999999999996,3,0.106318359375,7.5534525912871375,6,none,0
60,54.8,6.686425781249998,0.0,1.11318359375,-0.5000000000000004,1,0.051318359375,7.333282454042745,6,none,0
61,54.8,6.792744140624998,0.0,1.06318359375,-0.5000000000000004,1,0.096318359375,7.095188663423425,6,none,0
62,54.8,6.895903320312498,0.0,1.031591796875,-0.31591796875000133,1,0.09315917968749998,6.879309073166812,6,none,0
63,54.8,6.974062499999997,0.0,0.7815917968749999,-2.5,0,0.018159179687499985,6.679957499292686,6,none,0
64,54.8,7.072221679687499,0.0,0.9815917968749999,1.9999999999999996,3,0.038159179687499975,6.486413538303005,6,none,0
65,54.8,7.171301269531249,0.0,0.9907958984374999,0.09204101562500067,1,0.03907958984375,6.280084438769462,6,none,0
66,54.8,7.290380859374999,0.0,1.1907958984375,2.0000000000000004,3,0.05907958984374999,6.104571625671561,6,none,0
67,54.8,7.406960449218749,0.0,1.1657958984375,-0.2499999999999991,2,0.056579589843750014,5.914198598040446,6,none,0
68,54.8,7.518540039062498,0.0,1.1157958984375,-0.5000000000000004,1,0.05157958984375001,5.7328596969475285,6,none,0
69,54.8,7.627619628906248,0.0,1.0907958984375,-0.25000000000000133,2,0.04907958984374998,5.571500163166293,6,none,0
70,54.8,7.756699218749998,0.0,1.2907958984374999,1.9999999999999996,3,0.06907958984374997,5.407866988583724,6,none,0
71,54.8,7.880778808593748,0.0,1.2407958984374998,-0.5000000000000004,1,0.06407958984374999,5.2839791055901095,6,none,0
72,54.8,7.999858398437499,0.0,1.1907958984374998,-0.5000000000000004,1,0.10907958984374999,5.1348281718386914,6,none,0
73,54.8,8.116437988281248,0.0,1.1657958984374996,-0.25000000000000133,2,0.05657958984374996,5.016678912736119,6,none,0
74,54.8,8.230517578124998,0.0,1.1407958984374997,-0.2499999999999991,2,0.10407958984374999,4.919494520588122,6,none,0
75,54.8,8.339597167968748,0.0,1.0907958984374997,-0.5000000000000004,1,0.04907958984374998,5.0401740434702464,6,none,0
76,54.8,8.468676757812498,0.0,1.2907958984374996,1.9999999999999996,3,0.06907958984374997,5.184682380214893,6,none,0
77,54.8,8.617756347656247,0.0,1.4907958984374996,1.9999999999999996,3,0.13907958984374996,5.33283325139825,6,none,0
78,54.8,8.761835937499997,0.0,1.4407958984374996,-0.5000000000000004,1,0.08407958984374996,5.098150324931101,6,none,0
79,54.8,8.865915527343747,0.0,1.0407958984374996,-3.999999999999999,4,-0.45592041015625,5.003627471321722,6,none,0
80,54.8,8.967495117187497,0.0,1.0157958984374997,-0.2499999999999991,2,0.04157958984374997,4.815882870621067,6,none,0
81,54.8,9.068284912109371,0.0,1.0078979492187499,-0.07897949218749867,1,0.040789794921875,4.638031972702559,6,none,0
82,54.8,9.189074707031246,0.0,1.2078979492187498,1.9999999999999996,3,0.06078979492187499,4.364242074837557,6,none,0
83,54.8,9.329864501953121,0.0,1.4078979492187498,1.9999999999999996,3,0.13078979492187498,4.101841431439653,6,none,0
84,54.8,9.445654296874997,0.0,1.1578979492187498,-2.5,0,0.05578979492187498,3.94983109953448,6,none,0
85,54.8,9.581444091796872,0.0,1.3578979492187497,1.9999999999999996,3,0.07578979492187497,3.7185313294378504,6,none,0
86,54.8,9.712233886718746,0.0,1.3078979492187497,-0.5000000000000004,1,0.07078979492187497,3.552414216782886,6,none,0
87,54.8,9.863023681640621,0.0,1.5078979492187496,1.9999999999999996,3,0.09078979492187496,3.3377678749510666,6,none,0
88,54.8,10.033813476562496,0.0,1.7078979492187496,1.9999999999999996,3,0.16078979492187495,3.1365899340545518,6,none,0
89,54.8,10.19960327148437,0.0,1.6578979492187496,-0.5000000000000004,1,-2.894210205078125,2.9690592575363914,6,none,0
90,54.8,10.340393066406246,0.0,1.4078979492187496,-2.5,0,-2.919210205078125,2.8491712375038474,6,none,0
91,54.8,10.501182861328122,0.0,1.6078979492187495,1.9999999999999996,3,-2.8992102050781248,2.647218634143072,6,none,0
92,54.8,10.681972656249997,0.0,1.8078979492187495,1.9999999999999996,3,-2.829210205078125,2.475306176960766,6,none,0
93,54.8,10.882762451171871,0.0,2.0078979492187496,2.0000000000000018,3,-2.809210205078125,2.3097555720582372,6,none,0
94,54.8,11.058552246093747,0.0,1.7578979492187496,-2.5,0,-2.8842102050781246,2.212818974382342,6,none,0
95,54.8,11.254342041015622,0.0,1.9578979492187496,1.9999999999999996,3,-2.864210205078125,2.0518291600327228,6,none,0
96,54.8,11.447631835937496,0.0,1.9328979492187495,-0.25000000000000133,2,-2.866710205078125,1.9402660905435263,6,none,0
97,54.8,11.600921630859371,0.0,1.5328979492187496,-3.999999999999999,4,-3.406710205078125,1.859135301251925,6,none,0
98,54.8,11.774211425781246,0.0,1.7328979492187495,1.9999999999999996,3,-2.886710205078125,1.7332788390255265,6,none,0
99,54.8,11.96750122070312,0.0,1.9328979492187495,1.9999999999999996,3,-2.816710205078125,1.6216034175681842,6,none,0
100,54.8,12.155791015624995,0.0,1.8828979492187494,-0.5000000000000004,1,-2.871710205078125,1.5355402717202375,6,none,0
101,54.8,12.339080810546871,0.0,1.8328979492187494,-0.5000000000000004,1,-2.826710205078125,1.4688324977252594,6,none,0
102,54.8,12.542370605468745,0.0,2.0328979492187496,2.0000000000000018,3,-2.856710205078125,1.404869222202854,6,none,0
103,54.8,12.76566040039062,0.0,2.2328979492187497,2.0000000000000018,3,-2.786710205078125,1.350636179140503,6,none,0
104,54.8,13.008950195312496,0.0,2.43289794921875,2.0000000000000018,3,-2.766710205078125,1.294146810655488,6,none,0
105,54.8,13.27223999023437,0.0,2.63289794921875,2.0000000000000018,3,-2.746710205078125,1.267882502474014,6,none,0
106,54.8,13.533029785156243,0.0,2.60789794921875,-0.2499999999999991,2,-2.7992102050781247,1.2410365583022294,6,none,0
107,54.8,13.81381958007812,0.0,2.8078979492187504,2.0000000000000018,3,-2.7792102050781247,1.235066926827562,6,none,0
108,54.8,14.114609374999997,0.0,3.0078979492187505,2.0000000000000018,3,-2.709210205078125,1.2616472107406398,6,none,0
109,54.8,14.410399169921869,0.0,2.9578979492187507,-0.4999999999999982,1,-2.7642102050781245,1.2571429410093509,6,none,0
110,54.8,14.726188964843745,0.0,3.157897949218751,2.0000000000000018,3,-2.744210205078125,1.3048336194397294,6,none,0
111,54.8,15.001978759765619,0.0,2.757897949218751,-3.999999999999999,4,-3.2842102050781246,1.2725695222388835,6,none,0
112,54.8,15.272768554687495,0.0,2.7078979492187507,-0.5000000000000027,1,-2.789210205078125,1.2884459415555423,6,none,0
113,54.8,15.54105834960937,0.0,2.682897949218751,-0.2499999999999991,2,-2.791710205078125,1.3272551006057722,6,none,0
114,54.8,15.804348144531245,0.0,2.6328979492187505,-0.5000000000000027,1,-2.7967102050781247,1.3643491140351567,6,none,0
115,54.8,16.08763793945312,0.0,2.8328979492187507,2.0000000000000018,3,-2.7767102050781247,1.4719158126162553,6,none,0
116,54.8,16.365927734374996,0.0,2.782897949218751,-0.4999999999999982,1,-2.7817102050781246,1.4254340050248855,6,none,0
117,54.8,16.63921752929687,0.0,2.732897949218751,-0.4999999999999982,1,-2.7367102050781247,1.3222681877944757,6,none,0
118,54.8,16.907507324218745,0.0,2.6828979492187512,-0.4999999999999982,1,-2.741710205078125,1.2253163602115025,6,none,0
119,54.8,17.17079711914062,0.0,2.6328979492187514,-0.4999999999999982,1,-2.746710205078125,1.1349041130106283,6,none,0
120,54.8,17.454086914062493,0.0,2.8328979492187516,2.0000000000000018,3,-2.7767102050781247,1.0230547004375583,6,none,0
121,54.8,17.73237670898437,0.0,2.7828979492187518,-0.4999999999999982,1,-2.7817102050781246,0.9350439980295466,6,none,0
122,54.8,18.030666503906243,0.0,2.982897949218752,2.0000000000000018,3,-2.7617102050781246,0.8351867411249382,6,none,0
123,54.8,18.32395629882812,0.0,2.932897949218752,-0.4999999999999982,1,-2.7667102050781245,0.7621838167841997,6,none,0
124,54.8,18.614746093749993,0.0,2.907897949218752,-0.2499999999999991,2,-2.7692102050781244,0.6922108406005841,6,none,0
125,54.8,18.925535888671867,0.0,3.1078979492187524,2.0000000000000018,3,-2.7492102050781244,0.6217813429469256,6,none,0
126,54.8,19.23132568359374,0.0,3.057897949218752,-0.5000000000000027,1,-2.7542102050781248,0.5741976577015603,6,none,0
127,54.8,19.532115478515617,0.0,3.0078979492187523,-0.4999999999999982,1,-2.709210205078125,0.5398036177188306,6,none,0
128,54.8,19.827905273437494,0.0,2.9578979492187525,-0.4999999999999982,1,-2.7142102050781247,0.5195143937698858,6,none,0
129,54.8,20.14369506835937,0.0,3.1578979492187527,2.0000000000000018,3,-2.7442102050781245,0.5055318639566129,6,none,0
130,54.8,20.454484863281245,0.0,3.107897949218753,-0.4999999999999982,1,-2.7492102050781244,0.5158148909713013,6,none,0
131,54.8,20.76027465820312,0.0,3.057897949218753,-0.4999999999999982,1,-2.704210205078125,0.539800389563601,6,none,0
132,54.8,21.086064453124994,0.0,3.257897949218753,2.0000000000000018,3,-2.7342102050781243,0.5692232987687419,6,none,0
133,54.8,21.431854248046868,0.0,3.4578979492187534,2.0000000000000018,3,-2.664210205078125,0.6103696986269366,6,none,0
134,54.8,21.772644042968743,0.0,3.4078979492187536,-0.4999999999999982,1,-2.7192102050781246,0.6676101036405125,6,none,0
135,54.8,22.110933837890617,0.0,3.3828979492187536,-0.2499999999999991,2,-2.7217102050781246,0.7329744774330713,6,none,0
136,54.8,22.44422363281249,0.0,3.3328979492187534,-0.5000000000000027,1,-2.7267102050781244,0.8034485250578322,6,none,0
137,54.8,22.797513427734366,0.0,3.5328979492187536,2.0000000000000018,3,-2.7067102050781244,0.8672101808464253,6,none,0
138,54.8,23.14580322265624,0.0,3.4828979492187537,-0.4999999999999982,1,-2.7117102050781243,0.9451699039042605,6,none,0
139,54.8,23.491593017578115,0.0,3.457897949218754,-0.2499999999999991,2,-2.7142102050781243,1.0267003529091614,6,none,0
140,54.8,23.81238281249999,0.0,3.207897949218754,-2.5,0,-2.739210205078124,1.126589328853115,6,none,0
141,54.8,24.128172607421867,0.0,3.1578979492187536,-0.5000000000000027,1,-2.7442102050781245,1.2202322523327749,6,none,0
142,54.8,24.43896240234374,0.0,3.1078979492187537,-0.4999999999999982,1,-2.6992102050781246,1.3143749319418472,6,none,0
143,54.8,24.744752197265615,0.0,3.057897949218754,-0.4999999999999982,1,-2.7042102050781245,1.4125103572638393,6,none,0
144,54.8,25.04554199218749,0.0,3.007897949218754,-0.4999999999999982,1,0.2907897949218754,3.684910593557204,5,none,0
145,54.8,25.343831787109366,0.0,2.982897949218754,-0.2499999999999991,2,0.2382897949218754,3.7365978459445595,5,none,0
146,54.8,25.63712158203124,0.0,2.932897949218754,-0.5000000000000027,1,0.2332897949218754,3.8089354952838934,5,none,0
147,54.8,25.950411376953117,0.0,3.132897949218754,2.0000000000000018,3,0.2532897949218754,3.857334593020287,4,none,0
148,54.8,26.283701171874995,0.0,3.3328979492187543,2.0000000000000018,3,0.32328979492187543,3.887156539100492,4,none,0
